time,r_unvacc,r,susceptibility,cor,cor_unvacc
0,2.75,1.5906325826523158,0.5784118482372057,0.2378074298230436,0.42423953818254373
1,2.7499619237890975,1.5943731825236858,0.57978009394648,0.23870375908454763,0.42419393570546665
2,2.7498477067547737,1.5980942177408635,0.5811573542110267,0.23959190835042196,0.42414013633938336
3,2.7496573836886435,1.6017975287403456,0.5825444065294954,0.2404717447125901,0.4240781475091682
4,2.7493910125649563,1.6054845038386452,0.5839418607616891,0.24134319087364475,0.42400797806753715
5,2.7490486745229363,1.6091515249678512,0.5853485025131829,0.2422062618347651,0.42392963830013797
6,2.7486304738420686,1.6127955812894783,0.5867633341906063,0.24306092501031235,0.4238431399311429
7,2.7481365379103306,1.616419218726544,0.5881873758556629,0.24390704793323376,0.423748496129344
8,2.7475670171853928,1.6200249396486563,0.5896216287048786,0.24474454797214146,0.42364572151474594
9,2.7469220851487846,1.6236087577711444,0.5910647289739939,0.2455734493364494,0.42353483216565213
10,2.7462019382530523,1.6271673555547632,0.5925155513472025,0.24639374269027406,0.42341584562624074
11,2.745406795861916,1.6307027963016711,0.5939749252313316,0.24720530318693157,0.4232887809146234
12,2.7445369001834514,1.6342184723184838,0.5954441611658596,0.24800803363331114,0.42315365853138287
13,2.743592516196309,1.6377109704849162,0.5969220869414761,0.24880195474500855,0.42301050046858024
14,2.742573931568999,1.6411761619807743,0.5984072637348645,0.24958706980273057,0.4228593302192281
15,2.7414814565722674,1.644615762150576,0.5999003780265849,0.2503632689546489,0.4227001727872206
16,2.7403154239845797,1.648033467667852,0.6014028360543673,0.2511304835011458,0.4225330546977112
17,2.739076188990759,1.6514253018098235,0.6029132407661535,0.25188875654478904,0.42235800400792956
18,2.7377641290737884,1.6547874407577625,0.6044302440756987,0.2526380699460378,0.42217505031842933
19,2.7363796438998294,1.658123509547626,0.6059552128463082,0.25337830346509277,0.4219842247847562
20,2.734923155196477,1.6614358989307405,0.6074890608074078,0.25410942233880907,0.4217855601295233
21,2.7333951066243007,1.6647192782149522,0.6090298743056045,0.2548314870598709,0.4215790906548861
22,2.7317959636416966,1.667971142275689,0.6105767650568433,0.2555444654562892,0.4213648522553983
23,2.7301262133631097,1.6711961780313427,0.6121314721097372,0.25624825645089255,0.4211428824312453
24,2.7283863644106505,1.6743948063237724,0.6136941703582559,0.25694285606146616,0.4209132203018305
25,2.7265769467591627,1.6775620287272148,0.6152630428131443,0.2576283134669547,0.4206759066197082
26,2.724698511574792,1.680697158848788,0.616837845254812,0.25830459123999366,0.42043098378484484
27,2.7227516310470925,1.6838039566617775,0.6184199606977132,0.25897162534263396,0.42017849585918987
28,2.7207368982147315,1.6868813355801586,0.620008989728864,0.25962942728864274,0.41991848858154446
29,2.718654926784849,1.6899260352551753,0.6216037271246208,0.26027802477779083,0.41965100938270505
30,2.7165063509461094,1.692938161459562,0.6232041978734718,0.260917378094264,0.4193761074008681
31,2.714291825175528,1.695920355122016,0.6248113557252983,0.26154746463460804,0.41909383349727075
32,2.7120120240391064,1.6988704021966161,0.6264243621112053,0.2621683419369465,0.4188042402720509
33,2.7096676419863557,1.7017854477871377,0.6280421338093046,0.2627800362523105,0.41850738208030447
34,2.7072593931387607,1.7046674757113716,0.6296653656578517,0.26338247966664163,0.4182033150483173
35,2.7047880110722478,1.7075194819343553,0.6312951236638507,0.263975657657457,0.4178920970899478
36,2.7022542485937366,1.7103375740943103,0.6329299232240551,0.26455966424098076,0.417573787923137
37,2.699658877511823,1.713118419742838,0.6345684760445574,0.26513453512583907,0.41724844908652076
38,2.697002688401681,1.7158655891189254,0.6362120425381538,0.2657002012130784,0.4169161439561179
39,2.6942864903642425,1.7185819965587015,0.6378616389552416,0.2662566749182204,0.4165769377620667
40,2.6915111107797447,1.7212625905289736,0.6395153204588908,0.2668040761532853,0.4162308976053791
41,2.6886773950556933,1.7239046615071583,0.6411719995404839,0.267342445160309,0.41587809247468915
42,2.6857862063693485,1.7265128041695468,0.6428332977789213,0.2678717335052358,0.4155185932629565
43,2.6828384254047926,1.7290887048636627,0.6444997538764468,0.2683919697189179,0.4151524727841024
44,2.679834950084663,1.7316280899603766,0.6461696791832907,0.2689032587676421,0.41477980578953794
45,2.676776695296637,1.7341292616992867,0.6478423339333178,0.26940563849759813,0.4144006689845571
46,2.6736645926147498,1.7365960600531662,0.6495190402154507,0.26989910725100136,0.414015141044555
47,2.6704995900156248,1.739028492383606,0.6511996852144925,0.27038373333685634,0.41362330263104025
48,2.667282651589715,1.7414234574471357,0.6528829842646178,0.2708596085637413,0.41322523640739856
49,2.664014757247627,1.7437811503489273,0.6545688778956108,0.2713267545218036,0.4128210270543752
50,2.660696902421635,1.7461046800172526,0.6562583954707635,0.2717851931285379,0.412410761285232
51,2.6573300977624594,1.7483928237495583,0.6579509354979083,0.2722350290667489,0.41199452786054197
52,2.6539153688314143,1.750642547680388,0.6596452050583813,0.27267635526812095,0.4115724176025743
53,2.650453755788012,1.7528556076376263,0.6613417056644632,0.27310917628183523,0.4111445234092353
54,2.6469463130731183,1.7550353426530332,0.6630415335532167,0.2735335331919459,0.4107109402675157
55,2.6433941090877617,1.7571789240879763,0.6647434516279453,0.27394957198916947,0.41027176526639986
56,2.6397982258676866,1.7592832130882812,0.6664460926781686,0.274357404379885,0.4098270976091946
57,2.636159758753757,1.761351254542513,0.6681504217237543,0.27475704518843197,0.4093770386252267
58,2.6324798160583014,1.7633864119785905,0.6698575241571907,0.27514855829717927,0.408921691780862
59,2.628759518727514,1.7653852239955394,0.671565889317292,0.2755320923711524,0.40846116268979793
60,2.625,1.7673457583719636,0.6732745746178909,0.2759077488855212,0.40799555912257746
61,2.6212024050615845,1.769271359874981,0.6749846392855772,0.2762755694408886,0.4075249910152774
62,2.617367890696473,1.7711636069396377,0.6766964679422032,0.27663565355639225,0.40704957047731366
63,2.6134976249348867,1.7730197402520882,0.6784087819082145,0.2769881593531961,0.4065694117983157
64,2.6095927866972697,1.7748386891805041,0.6801209361966241,0.2773331838728084,0.4060846314540137
65,2.6056545654351746,1.7766241966848784,0.6818341234683813,0.2776707827111164,0.40559534811108316
66,2.60168416076895,1.7783769033645942,0.6835483454067613,0.2780010771657933,0.4051016826308941
67,2.5976827821223187,1.780094203507324,0.6852623483353032,0.2783242270062065,0.40460375807210747
68,2.593651648353978,1.781775943067229,0.6869758104169488,0.27864032470455763,0.4041016996920635
69,2.589591987386325,1.7834257792407564,0.6886898738981533,0.27894943871525696,0.4035956349469038
70,2.5855050358314173,1.785043753319926,0.6904042841076548,0.2792517141447011,0.40308569349037277
71,2.5813920386142892,1.786627103994696,0.6921176935812395,0.27954732607520877,0.4025720071712352
72,2.5772542485937366,1.788176404859392,0.6938300347492297,0.27983638761388513,0.4020547100292585
73,2.573092926180684,1.7896949019544437,0.6955422727817838,0.2801189949444797,0.4015339382896978
74,2.56890933895425,1.7911826894223453,0.6972541468324058,0.28039530185143063,0.4010098303562238
75,2.56470476127563,1.7926377549884125,0.698964567795629,0.2806654609204898,0.4004825268022407
76,2.560480473899917,1.7940616870878943,0.7006738404668731,0.28092957478357994,0.3999521703605321
