time,r_unvacc,r,susceptibility,cor,cor_unvacc
0,2.75,1.8137945358777718,0.6595616494100989,0.28059605184237046,0.4242404376937979
1,2.7499619237890975,1.811804017431243,0.6588469468460159,0.28023389136787036,0.4241948577000846
2,2.7498477067547737,1.8097735795354768,0.6581359306153274,0.27988679703942687,0.42414108061241207
3,2.7496573836886435,1.8077033705027599,0.6574285877310795,0.2795592379698837,0.4240791138522224
4,2.7493910125649563,1.8055937006404374,0.6567249592323234,0.27925648638045786,0.424008966268768
5,2.7490486745229363,1.8034449206502872,0.6560250960137157,0.2789847686692347,0.4239306481442
6,2.7486304738420686,1.8012572483006997,0.6553289958191,0.27875144760192605,0.4238441711991581
7,2.7481365379103306,1.7990307602972704,0.6546366002852407,0.2785652325842093,0.4237495485988643
8,2.7475670171853928,1.7967656304408675,0.6539478815994355,0.2784364372605491,0.4236467949597127
9,2.7469220851487846,1.7944622456506825,0.6532628847947418,0.2783773077146463,0.42353592635635473
10,2.7462019382530523,1.7921209631767014,0.6525816394684826,0.278402183941422,0.423416960329273
11,2.745406795861916,1.7897420406504492,0.6519041343337837,0.2785281077436176,0.42328991589283715
12,2.7445369001834514,1.7873256918754312,0.6512303375319757,0.27878120321759864,0.423154813543842
13,2.743592516196309,1.7848722389653136,0.6505602520886898,0.27918139499912603,0.42301167527051264
14,2.742573931568999,1.782382662274568,0.6498941165297538,0.2796274143976265,0.4228605245619769
15,2.7414814565722674,1.7842132554925934,0.6508208367469438,0.28007252619279877,0.42270138641819516
16,2.7403154239845797,1.7863820462563011,0.6518892061187601,0.28051126788436404,0.4225342873603358
17,2.739076188990759,1.7886140134106419,0.652999000392784,0.28094200472674224,0.42235925544159036
18,2.7377641290737884,1.7908436860833576,0.654126360655188,0.28136414316374536,0.42217632025842
19,2.7363796438998294,1.7930488832271982,0.6552632004935484,0.281777461045166,0.42198551296222103
20,2.734923155196477,1.7952210082614604,0.6564063801392224,0.2821818795738644,0.4217868662714001
21,2.7333951066243007,1.7973566376848686,0.6575546408673334,0.2825773871647449,0.4215804144838478
22,2.7317959636416966,1.7994539618150311,0.6587073067551571,0.2829640041788968,0.42136619348979465
23,2.7301262133631097,1.8015122036126372,0.6598640732413034,0.28334176259090704,0.4211442407850414
24,2.7283863644106505,1.8035310869981818,0.6610248132462561,0.2837106958253898,0.4209145954845482
25,2.7265769467591627,1.8055106048831462,0.6621894925904052,0.284070845368083,0.42067729833636447
26,2.724698511574792,1.807450453945994,0.6633579628233228,0.2844222580462573,0.4204323917358905
27,2.7227516310470925,1.8093505519891535,0.6645301508067885,0.28476497499354364,0.42017991974045
28,2.7207368982147315,1.8112111598328438,0.6657061037475942,0.2850990383417633,0.41991992808415446
29,2.718654926784849,1.813032183324311,0.6668857328901425,0.2854245004493813,0.4196524641930491
30,2.7165063509461094,1.8148133547212175,0.6680688797540087,0.28574141905603234,0.41937757720051416
31,2.714291825175528,1.8165546823064098,0.6692554814694388,0.28604984720981613,0.41909531796290816
32,2.7120120240391064,1.8182564506603542,0.6704455712376796,0.28634983520060264,0.41880573907542723
33,2.7096676419863557,1.8199187826709853,0.6716391170899731,0.2866414420992229,0.4185088948881643
34,2.7072593931387607,1.8215414671577133,0.6728359579337694,0.2869247352231824,0.4182048415223389
35,2.7047880110722478,1.8231244763708594,0.6740359942841235,0.2871997774942568,0.41789363688668096
36,2.7022542485937366,1.82466817276303,0.6752392650368093,0.28746662151772495,0.4175753406939403
37,2.699658877511823,1.8261729876729593,0.6764458290952953,0.28772532677580664,0.41725001447750104
38,2.697002688401681,1.8276387171218158,0.6776555043795398,0.2879759688899346,0.41691772160806995
39,2.6942864903642425,1.8290651057885245,0.6788680833793781,0.28821862463974957,0.4165785273104136
40,2.6915111107797447,1.8304524829638023,0.6800835692755177,0.28845335733295085,0.41623249868011586
41,2.6886773950556933,1.831801510583788,0.6813020833039897,0.2886802347324784,0.4158797047003233
42,2.6857862063693485,1.83311208833922,0.6825234577465586,0.28889934175326737,0.4155202162584544
43,2.6828384254047926,1.834383962691409,0.6837474613904984,0.28911076245166384,0.41515410616283605
44,2.679834950084663,1.8356176198366163,0.6849741323728256,0.2893145679464143,0.4147814491592338
45,2.676776695296637,1.8368137245684164,0.6862035700609173,0.2895108344482863,0.4144023219472474
46,2.6736645926147498,1.8379722294686336,0.6874356022612251,0.2896996543280048,0.41401680319652995
47,2.6704995900156248,1.8390929668518021,0.6886700053157626,0.28988111904999037,0.41362497356280153
48,2.667282651589715,1.8401764835682217,0.6899068167640451,0.2900553130333773,0.413226915703615
49,2.664014757247627,1.8412233014616217,0.6911460593273565,0.2902223250472471,0.4128227142938416
50,2.660696902421635,1.8422335501521347,0.6923876028402276,0.2903822531414132,0.41241245604082905
51,2.6573300977624594,1.8432073313336745,0.6936313004115306,0.29053519161993574,0.4119962296992011
52,2.6539153688314143,1.844145258869638,0.6948771918381337,0.2906812313989088,0.411574126085248
53,2.650453755788012,1.84504775696012,0.6961252400389702,0.290820471250464,0.4111462380908695
54,2.6469463130731183,1.8459149346368904,0.6973752831782121,0.29095301794634165,0.4107126606970268
55,2.6433941090877617,1.8467470254686111,0.6986272002043333,0.29107897269280636,0.41027349098665633
56,2.6397982258676866,1.847544737469249,0.6998810436968044,0.29119843638394505,0.40982882815700045
57,2.636159758753757,1.8483084423116978,0.701136733528428,0.291311522991023,0.4093787735313116
58,2.6324798160583014,1.8490381738360517,0.702394055428952,0.29141834916292786,0.40892343056987307
59,2.628759518727514,1.8497344724936082,0.7036529813076994,0.2915190179370815,0.40846290488029824
60,2.625,1.8503982987493366,0.7049136376187949,0.29161363642717714,0.4079973042270506
61,2.6212024050615845,1.8510298385928783,0.7061758508303325,0.2917023330214769,0.4075267385401359
62,2.617367890696473,1.851628967678078,0.7074393226339174,0.29178523532573986,0.407051319922915
63,2.6134976249348867,1.852196496536605,0.7087041055117664,0.29186245238856273,0.40657116265898174
64,2.6095927866972697,1.8527335589682583,0.7099703710145133,0.2919341028277865,0.406086383218057
65,2.6056545654351746,1.853240169097112,0.7112378569596003,0.29200032927299757,0.4055971002608384
66,2.60168416076895,1.8537162370676894,0.7125062546100168,0.2920612630534954,0.40510343464275633
67,2.5976827821223187,1.8541630225361794,0.7137757678869934,0.2921170162063292,0.40460550941657736
68,2.593651648353978,1.8545815861382084,0.7150465203433124,0.29216771817922416,0.404103449833802
69,2.589591987386325,1.854971732907504,0.7163181466203588,0.29221352070507345,0.40359738334479456
70,2.5855050358314173,1.8553335700379596,0.7175903911714264,0.2922545605623076,0.4030874395975919
71,2.5813920386142892,1.8556685068121548,0.7188634965374309,0.2922909638249796,0.40257375043532967
72,2.5772542485937366,1.8559773212960275,0.7201374572604664,0.29232287436215254,0.4020564498922318
73,2.573092926180684,1.8562599809734648,0.7214119482768797,0.2923504462050571,0.40153567418810254
74,2.56890933895425,1.8565170482152975,0.7226868695066706,0.2923738191601507,0.4010115617212643
75,2.56470476127563,1.856749794240622,0.7239623921925087,0.2923931330258986,0.400484253059884
76,2.560480473899917,1.856958723656344,0.7252383849770095,0.29240854557699814,0.3999538909316287
