time,r_unvacc,r,susceptibility,cor,ior,cor_unvacc,ior_unvacc
0,3.0,1.858811304498635,0.6196037681662117,0.29805565983057947,0.2926660574707204,0.44929836631303977,0.4495501143604769
1,2.999925919604558,1.8632199057278813,0.6210886387399479,0.2988210621614261,0.29356605949482817,0.44922409215234466,0.44954316529839666
2,2.999703700369852,1.867552954718273,0.6225791415625519,0.2995684252678171,0.29444721705826715,0.4491359032568156,0.4495223185171865
3,2.999333408144238,1.8718098622445802,0.6240752885831107,0.300297731313513,0.2953096091570019,0.44903380012069716,0.44948757523269434
4,2.998815152653293,1.875989428470064,0.6255768805257054,0.30100897100702784,0.2961531880904305,0.4489177840868419,0.44943893747384595
5,2.998149087467304,1.8800904255112363,0.6270837008640717,0.3017021270268372,0.2969778986390087,0.4487878573579344,0.4493764080864182
6,2.9973354099557605,1.884112480399671,0.6285958101791083,0.3023771813267725,0.2977838546920317,0.44864402300929196,0.4492999907383203
7,2.9963743612288702,1.8880546409508328,0.6301130677731822,0.3030341410997626,0.29857105032390086,0.44848628500325427,0.4492096899263885
8,2.995266226066111,1.8919151036631123,0.6316350403843382,0.3036730243726521,0.29933930773467543,0.44831464820516864,0.4491055109846947
9,2.9940113328318487,1.8956929926362123,0.633161595565236,0.30429382156467955,0.30008863223907445,0.4481291184009848,0.448987460094372
10,2.9926100533780304,1.899388833549777,0.6346930604626435,0.3048965147986583,0.3008193026747304,0.4479297023164668,0.4488555442949611
11,2.9910628029340005,1.903001770435958,0.6362292923335682,0.30548112340733247,0.30153131939306826,0.44771640763803766,0.4487097714972797
12,2.9893700399834575,1.90652954872802,0.6377696716123409,0.30604767796312055,0.30222440528690914,0.447489243035264,0.44855015049781904
13,2.9875322661285972,1.9099715282119067,0.6393141087935258,0.3065961626763486,0.30289859910919603,0.44724821818499844,0.4483766909946751
14,2.985550025941475,1.913329122579053,0.6408631930311388,0.3071265536154101,0.3035543363477329,0.44699334379718686,0.4481894036050154
15,2.9834239068026385,1.9166011922520558,0.6424166501722828,0.3076388838748619,0.30419154763922973,0.44672463164235887,0.4479882998840862
16,2.9811545387270746,1.9197848381058114,0.6439736059189812,0.30813320030501157,0.3048098198315605,0.4464420945808117,0.4477733923457713
17,2.9787425941775196,1.92287972550786,0.6455340348194132,0.3086094903879214,0.30540923678396714,0.4461457465935033,0.4475446944847031
18,2.976188787865199,1.925887992388649,0.6470987325270035,0.30906773943029286,0.30599035486014287,0.4458356028146677,0.4473022207999307
19,2.9734938765380377,1.9288080911316468,0.648667248434797,0.30950799709363064,0.3065530119315154,0.445511679566167,0.44704598682016017
20,2.970658658756424,1.9316369927215482,0.6502386220065315,0.30993030988895176,0.30709675953555116,0.4451739943935963,0.446776009130562
21,2.967683974656574,1.9343754550104544,0.651813155150492,0.31033466532165377,0.30762187506533256,0.44482256610415427,0.446492305401162
22,2.964570705701587,1.9370252652979212,0.6533914882085803,0.3107210643694692,0.30812882624692434,0.44445741480629564,0.44619489441681964
23,2.9613197744202435,1.9395844479728472,0.6549729835753966,0.3110895671758426,0.3086173553794562,0.44407856195117795,0.44588379610879625
24,2.9579321441336437,1.9420505343927326,0.6565568240787162,0.3114402221661913,0.30908710942606193,0.4436860303759235,0.44555903158792964
25,2.9544088186697515,1.9444247763545064,0.6581434377216626,0.3117730377117488,0.3095384408680459,0.4432798443487032,0.4452206231794147
26,2.9507508420659425,1.9467080423638807,0.6597331142337013,0.31208804047394584,0.3099716227549205,0.44286002961566306,0.44486859445919796
27,2.946959298259628,1.9488987724333207,0.6613253103238557,0.3123852930412154,0.3103864627257748,0.44242661344970513,0.44450297029199964
28,2.943035310767069,1.9509955500894298,0.6629195181422831,0.3126648351366008,0.3107827930103117,0.44197962470113866,0.4441237768709615
29,2.938980042350444,1.9529997880894112,0.6645161790644564,0.3129266784511607,0.31116097636347084,0.44151909385021093,0.44373104175893224
30,2.9347946946733057,1.9549118657462248,0.666115374030905,0.3131708628972028,0.3115211745478859,0.44104505306153863,0.44332479393139734
31,2.9304805079444973,1.9567301809190822,0.6677164975554044,0.313397459943105,0.31186317193291174,0.4405575362404453,0.4429050638210563
32,2.9260387605506546,1.9584536928321452,0.6693191215497027,0.3136065136264404,0.3121868555165352,0.44005657909121826,0.442471883364056
