time,log10_antibodies_mean,log10_antibodies_median,log10_antibodies_95ci_lower,log10_antibodies_95ci_upper,susceptibility_mean,susceptibility_median,susceptibility_95ci_lower,susceptibility_95ci_upper
0,1.721719698957932,1.843019883071281,-0.24843015283089065,3.0365248208008837,0.9563651703802974,0.9892264726333437,0.6942291283024863,0.9999833540068975
1,1.7160762782551167,1.8378225846854002,-0.2597976413872982,3.033723069574163,0.9567413603768647,0.9893968331782199,0.6960697144353614,0.9999839303777496
2,1.7104645586876703,1.832245018910791,-0.27107896659341274,3.0312695483372356,0.9571158304413124,0.9895766977643248,0.697676393377775,0.9999844826520811
3,1.7048534006505205,1.8262497307503964,-0.2823568796315532,3.0280604147688406,0.9574884331500226,0.9897666661113236,0.6997705917982867,0.999985015789642
4,1.6992276969258666,1.8211462548572854,-0.2936223220469695,3.025912345844807,0.9578636107688777,0.9899256732535272,0.7011677357913018,0.9999855300481023
5,3.2592230820968724,3.2585883574170604,2.6590147784289107,3.8626921459743393,0.527146863075015,0.5328449033703528,0.14916659648738362,0.8797692847941152
6,3.4168713703095857,3.416709910533034,2.820416285889154,4.015994369479462,0.42470354189428555,0.4112966372903838,0.09828833002047631,0.8160636379395996
7,3.4667100548357936,3.4665518536913287,2.871233824498384,4.065759400268208,0.3931153761186694,0.37446293474469816,0.08543746433527039,0.7912320664672121
8,3.4839757497507846,3.4838739962497067,2.8879879110510007,4.081841815915211,0.3823476268171462,0.36197174950347843,0.08162152538565841,0.7825230413381301
9,3.489163829149543,3.4891279054113298,2.8930059255556846,4.087755232597655,0.3791364345931804,0.35821879026373626,0.0802578948726482,0.7798641002040035
10,3.489396428295831,3.489458255758943,2.893468149715862,4.086922234230401,0.37899937492473473,0.3579833855551548,0.08044872626516557,0.7796180033287007
11,3.487626854707272,3.487802298334796,2.8918768305487887,4.084898214722714,0.38010309809427917,0.3591640758197429,0.08091411996971347,0.7804644140646868
12,3.484996452230652,3.4852141202779725,2.889412200686346,4.083018073741888,0.3817425737653334,0.3610128513157222,0.08134860463173442,0.7817707007591127
