time,r,susceptibility,cor
0,1.2902648736798668,0.43008829122662223,0.1439028175680549
1,1.295303008388421,0.4317783315659889,0.144367114465115
2,1.3003104395599066,0.4334796264709689,0.14471024890232467
3,1.3052869961282088,0.43519236393789984,0.14492230924639832
4,1.3102293201488313,0.43691566617221,0.14499275428955813
5,1.31513610956823,0.4386493370412061,0.14491038545103183
6,1.320006992445349,0.4403934868486513,0.1446633350668144
7,1.3248421987005736,0.4421484230552656,0.14423919876145802
8,1.329639532575111,0.4439136397973604,0.14362555473173558
9,1.334396802073068,0.4456886276415478,0.14280883309804018
10,1.3391128016606537,0.4474732015783599,0.1417697688393671
11,1.3438054104030623,0.4492735522252804,0.1405092246700213
12,1.3481426280912463,0.4509788383704771,0.1391056449828398
13,1.3479688846080033,0.4511981008174258,0.13762357443932116
14,1.3465708383600699,0.45102940049897067,0.13608129248625053
15,1.344706820366679,0.45072603236186204,0.1344855342110679
16,1.3426153795703804,0.4503675881706101,0.13283934252430685
17,1.3403842275044904,0.44998323457841205,0.1311444362204713
18,1.338050667252672,0.449585279236418,0.12940201898123882
19,1.3356348832368268,0.44918030394327635,0.12761322112993534
20,1.333142357974825,0.448769956805776,0.12577935233250787
21,1.330572918358786,0.44835397896865425,0.12390191940002847
22,1.3279285252552757,0.4479328230226885,0.12198257224891357
23,1.3252136365204357,0.44750777945954223,0.12002316162408294
24,1.32242873958588,0.4470787953025236,0.11802582081953426
25,1.319571685646016,0.44664491836988385,0.11599292750272952
26,1.316644023041603,0.44620643812805494,0.11392705786995841
27,1.3136479382516517,0.44576385531603596,0.11183100761181597
28,1.3105839283835685,0.4453170927269573,0.10970780788726106
29,1.3074517320459016,0.4448658082755368,0.10756068600764652
30,1.3042533145941833,0.4444104103641123,0.10539304474928841
31,1.3009898153212962,0.44395102161380307,0.10320847176507349
32,1.2976614125212458,0.4434874308626853,0.10101073427167769
33,1.294267609436739,0.4430191885926963,0.09880372349726066
34,1.2908103563775688,0.44254667542871273,0.0965914164510107
35,1.2872912256577824,0.4420701387656262,0.0943778788258401
36,1.2837100986856178,0.4415892402775988,0.09216724434371791
37,1.280067024229279,0.44110369137836336,0.0899636531777596
38,1.27636409043616,0.4406138998830841,0.08777121344126174
39,1.2726028774606548,0.44012009539907637,0.0855939981231656
40,1.2687835700175218,0.43962202045064963,0.08343602529147738
41,1.264905946656808,0.43911926945437646,0.08130118770906049
42,1.2609731132909057,0.4386125859475466,0.07919322761611368
43,1.2569864723029593,0.438102120638738,0.07711575571244966
44,1.252945010363321,0.43758717703077,0.07507221779196578
45,1.248849559720832,0.4370676941121141,0.0730658282074718
46,1.2447035926098777,0.43654453161270484,0.07109956390350486
47,1.2405088047760942,0.4360179277978529,0.06917620365188057
48,1.2362633728707133,0.4354868791929051,0.06729829931327888
49,1.2319686982842064,0.4349515077567292,0.06546812310889008
50,1.227628434907808,0.4344127295278907,0.06368768705235525
51,1.22324355615434,0.4338705143983118,0.06195878953912359
52,1.2188121238941192,0.43332379319909087,0.06028298825466706
53,1.2143361809891722,0.4327729017161279,0.058661563855790494
54,1.2098198769913722,0.4322189280729092,0.057095566394890065
55,1.2052630569569591,0.43166142619273706,0.05558585893792102
56,1.2006642387667628,0.43109946593958615,0.05413308411033837
57,1.1960272278283683,0.43053400802427877,0.052737663113610604
58,1.1913548859093854,0.4299656795675466,0.05139985550074629
59,1.1866461714808667,0.4293936991786371,0.05011978359014432
60,1.1819010402673882,0.4288176365137324,0.04889741233081327
61,1.1771229928259968,0.428238343762145,0.04773256088546865
62,1.1723144468939584,0.4276562850843728,0.046624946825843575
63,1.1674756721112427,0.42707114193170226,0.04557421691785866
64,1.1626066047040304,0.42648246802949563,0.04457994739176641
65,1.1577091124471381,0.425890520856753,0.04364164267258559
66,1.1527864898296964,0.42529608553858533,0.042758773686652894
67,1.1478389978532573,0.42469883244571405,0.04193081321382101
68,1.142865953769718,0.4240980766572646,0.04115722464758185
69,1.1378704040161784,0.42349451196136534,0.04043746576128444
70,1.1328553677339868,0.4228888292076397,0.039771037721126765
71,1.1278195267703568,0.4222801028043127,0.039157500412234196
72,1.1227634986920165,0.42166812228467043,0.03859645333734805
73,1.1176913447172656,0.42105397134779976,0.03808755644557097
74,1.1126048058711877,0.42043786997494714,0.03763057498227452
75,1.107502064114618,0.41981869164335334,0.037225391858281894
76,1.1023848672955385,0.4191966516396839,0.03687197678145534
77,1.097257265830068,0.4185728464448213,0.0365704178901473
78,1.0921207179348262,0.4179473948359822,0.03632096897817151
79,1.0869736467766233,0.4173192523968474,0.036124054788338154
80,1.081817502542006,0.41668852774603826,0.0359802598569933
81,1.0766559883495945,0.416056202282686,0.035890357032295685
82,1.0714904765779745,0.41542236759829493,0.035855371861830194
83,1.0663189602109815,0.41478580308042434,0.03587659179681979
84,1.0611433106705088,0.414146786834945,0.035955392498774955
85,1.0559682220118154,0.4135067073859723,0.03609360230024375
86,1.050795357242868,0.41286578257629986,0.03629542239849455
87,1.0456084682822206,0.41221717374072886,0.036559572103723174
88,1.0406882633991996,0.4116714200161311,0.036859936198082824
89,1.0395383511758673,0.41261982432252753,0.037175270078315274
90,1.0393641599767283,0.41396428481325964,0.0374996555657675
91,1.0395229263579715,0.41545158817919564,0.03783108418330216
92,1.039812422225923,0.4170016919517445,0.038168858179894904
93,1.0401586589321128,0.4185850454072498,0.03851279223701464
94,1.040531293852268,0.4201893058026714,0.038862931501674615
95,1.0409161033279188,0.4218084835792202,0.03921941633984071
96,1.0413088590090882,0.42344056337425373,0.039582412136081026
97,1.041709562370798,0.42508522105184654,0.03995210052351675
98,1.0421174690175765,0.42674181591887284,0.04032868805144351
99,1.0425311038577696,0.42840939143885437,0.04071238568232307
100,1.042951838069302,0.4300881448061611,0.04110339019906772
101,1.043382031935163,0.43177867880435006,0.04150190627992392
102,1.0438209880597953,0.4334803284044062,0.04190816314052103
103,1.0442674676463368,0.43519218706826657,0.042322385771066826
104,1.0447238030933617,0.4369148225521824,0.042744776254017264
105,1.0451929457362668,0.4386490640049634,0.04317554922995439
106,1.0456733861214649,0.44039386717460005,0.04361495174783361
107,1.0461635721877365,0.4421481487207737,0.0440632299363829
108,1.0466658337553376,0.44391245021557924,0.04452060524690619
109,1.0471832344952285,0.44568762704473,0.044987298028207515
110,1.0477158500810853,0.4474732642945889,0.04546355239758563
111,1.0482623630235406,0.44926833802711746,0.045949620219472916
112,1.0488241252638928,0.45107295207036996,0.04644574434143661
113,1.0494029387813364,0.4528874000756946,0.046952165322717905
114,1.0499996877286548,0.4547115765081887,0.047469132832026466
115,1.0506144071954613,0.4565449996822462,0.04799690135450861
116,1.0512480742059007,0.45838758638782556,0.048535725746751385
117,1.051901755574642,0.46023928609303694,0.049085867647764375
118,1.052575860196228,0.4620997533804504,0.04964759215168468
119,1.0532713204373734,0.4639688635026608,0.05022115015476836
120,1.0539905122341506,0.46584712299038733,0.05080678524110399
121,1.054734624629712,0.4677345138664488,0.0514047672960659
122,1.0555020446643606,0.4696297662884741,0.052015384044208246
123,1.0562932953655104,0.471532542371738,0.05263890076209433
124,1.0571119291754116,0.47344385216715784,0.05327556889968044
125,1.0579591061379845,0.47536363971121237,0.053925661715308874
126,1.05883376883313,0.47729084448562553,0.05458946788485999
127,1.0597364419402528,0.47922510374242827,0.05526725712304349
128,1.0606702634712792,0.4811672319446298,0.05595928985482356
129,1.0616361691950749,0.4831170481441165,0.05666584701161343
130,1.062633395464634,0.48507358989504284,0.05738721577761789
131,1.0636631605018214,0.48703678710075077,0.05812366052241836
132,1.0647285433069664,0.48900742056633306,0.05887544681135161
133,1.0658295522503831,0.4909848633138753,0.05964286613857105
134,1.0669654513481945,0.4929681343251234,0.06042620220815496
135,1.0681386987807215,0.4949577188768698,0.06122570098446559
136,1.0693527735545765,0.49695458042351087,0.062041610030461734
137,1.070607411476173,0.49895794712317976,0.06287421997729503
138,1.0719005433482252,0.5009661930066855,0.06372382352892882
139,1.0732344609688733,0.5029797164802872,0.06459067267417483
140,1.0746129780484586,0.5049996347965213,0.06547501391519055
141,1.0760361203312931,0.5070252917253708,0.06637711925739716
142,1.0775031538122968,0.5090556644594224,0.06729725622083434
143,1.0790161530664308,0.5110910496344776,0.06823566889730467
144,1.0805774850778107,0.5131318860468396,0.06919260860641649
145,1.0821868314976464,0.515177338944535,0.07016833799042572
146,1.0838447564363687,0.5172269870727961,0.07116309598518546
147,1.085554064801048,0.5192814781088497,0.0721771018783641
148,1.0873162928286801,0.5213408589564688,0.07321059742319476
149,1.0891303652879663,0.5234039234464978,0.07426383367385224
150,1.0909972940490917,0.5254704616181987,0.07533701621691669
151,1.0929210822400175,0.5275417079630143,0.0764303189759439
152,1.094903233502003,0.5296177011737662,0.07754394702853239
153,1.0969420170752457,0.5316969151079902,0.07867813256394898
154,1.0990373887369616,0.5337786333582384,0.0798330665499645
155,1.1011934228501075,0.5358641418303449,0.08100890180013387
156,1.1034119469496402,0.5379536449331321,0.08220581437965142
157,1.1056915669189993,0.5400457790533342,0.08342399414479826
158,1.1080328714883803,0.5421401453809915,0.0846635843755967
159,1.1104397711676963,0.5442379754756425,0.0859247050483248
160,1.11291295119289,0.5463389310845053,0.08720750745046435
161,1.1154510039377623,0.5484416480888898,0.0885121431234145
162,1.1180553751044433,0.5505461648903203,0.08983870538790226
163,1.1207300122161918,0.5526537603290678,0.09118726836937727
164,1.1234751836146413,0.5547639102698634,0.09255794814929579
165,1.1262889613682254,0.5568750084910232,0.09395085586755932
166,1.129173270228413,0.5589873551553841,0.09536602989229381
167,1.132132490386379,0.5611024767775747,0.09680348327419984
168,1.135166774615858,0.5632198172350336,0.09826326366981361
169,1.1382744846152428,0.565337936368943,0.09974541029537555
170,1.1414574857689492,0.5674571386590184,0.10124991407171227
171,1.1447185010527134,0.5695781655730262,0.1027767619666488
172,1.1480570668439412,0.5717001834872795,0.10432595367065989
173,1.1514731120795045,0.5738225612596005,0.10589745133463871
174,1.1549692885607974,0.5759460338200293,0.10749117549496932
175,1.1585472374715888,0.5780708440581337,0.10910706167993542
176,1.1622058355828517,0.5801958657469981,0.11074505871529748
177,1.165945204465585,0.5823206029537904,0.11240506224275092
178,1.1697685443301178,0.5844461085231971,0.11408692032375546
179,1.1736773636997253,0.5865726029079306,0.11579051087775792
180,1.17766969790414,0.5886985821704275,0.1175157360304966
181,1.181745448594733,0.5908234863250685,0.11926243780358944
182,1.1859081462609802,0.5929485822956158,0.1210303961075894
183,1.1901596681042066,0.5950743235323954,0.12281940563676519
184,1.1944984417161666,0.5971994515264112,0.12462928106307077
185,1.198924272594068,0.5993234101734441,0.12645980097837267
186,1.2034393072694651,0.6014468275008551,0.12831070959652835
187,1.2080445259696073,0.6035697621959975,0.1301817560050339
188,1.2127391995033934,0.6056914331614784,0.13207267347347149
189,1.2175244312674578,0.6078119897867145,0.1339831525291314
190,1.2224018456247498,0.6099318558824395,0.1359128776779199
191,1.2273710509879436,0.6120504638897297,0.13786155677373899
192,1.2324310498704156,0.6141669607337485,0.13982887196838698
193,1.2375833826582452,0.616281774991855,0.14181444057555176
194,1.242830361718817,0.6183957338815358,0.1438178771797583
195,1.2481709596295456,0.6205080172841688,0.1458388481902685
196,1.253603130667372,0.6226173181389505,0.14787701166727563
197,1.259128034659751,0.6247239413755346,0.14993194123248788
198,1.2647488900451944,0.6268292277910454,0.15200317369194286
199,1.2704657051987973,0.6289329397790644,0.15409029288796747
200,1.2762758829506482,0.6310335691221143,0.15619289456220412
201,1.2821797761348936,0.6331310888318777,0.1583105243638149
202,1.2881793261283916,0.6352262728783686,0.16044270993049636
203,1.294274185037182,0.6373187811222691,0.16258899868145996
