time,r
0,3.0
1,2.999847695156391
2,2.999390827019096
3,2.9986295347545737
4,2.9975640502598244
5,2.9961946980917453
6,2.9945218953682735
7,2.992546151641322
8,2.99026806874157
9,2.9876883405951378
10,2.984807753012208
11,2.9816271834476638
12,2.9781476007338057
13,2.9743700647852354
14,2.9702957262759964
15,2.965925826289068
16,2.961261695938319
17,2.9563047559630355
18,2.9510565162951536
19,2.945518575599317
20,2.9396926207859084
21,2.9335804264972016
22,2.9271838545667874
23,2.9205048534524405
24,2.9135454576426008
25,2.90630778703665
26,2.898794046299167
27,2.891006524188368
28,2.882947592858927
29,2.874619707139396
30,2.866025403784439
31,2.8571673007021126
32,2.848048096156426
33,2.838670567945424
34,2.8290375725550416
35,2.819152044288992
36,2.8090169943749475
37,2.798635510047293
38,2.788010753606722
39,2.777145961456971
40,2.766044443118978
41,2.754709580222772
42,2.743144825477394
43,2.7313537016191707
44,2.719339800338651
45,2.7071067811865475
46,2.6946583704589973
47,2.6819983600624986
48,2.6691306063588582
49,2.6560590289905073
50,2.6427876096865393
51,2.6293203910498377
52,2.615661475325658
53,2.6018150231520485
54,2.5877852522924734
55,2.573576436351046
56,2.5591929034707466
57,2.544639035015027
58,2.5299192642332047
59,2.5150380749100543
60,2.5
61,2.4848096202463372
62,2.4694715627858908
63,2.4539904997395467
64,2.4383711467890774
65,2.4226182617406993
66,2.4067366430758
67,2.390731128489274
68,2.374606593415912
69,2.3583679495453005
70,2.342020143325669
71,2.325568154457157
72,2.3090169943749475
73,2.2923717047227368
74,2.275637355816999
75,2.2588190451025207
76,2.241921895599668
77,2.224951054343865
78,2.2079116908177596
79,2.190808995376545
80,2.1736481776669305
81,2.1564344650402307
82,2.1391731009600656
83,2.1218693434051477
84,2.1045284632676533
85,2.087155742747658
86,2.0697564737441256
87,2.052335956242944
88,2.034899496702501
89,2.0174524064372834
90,2.0
91,1.9825475935627166
92,1.9651005032974993
93,1.9476640437570565
94,1.9302435262558746
95,1.9128442572523419
96,1.8954715367323467
97,1.8781306565948526
98,1.8608268990399346
99,1.843565534959769
100,1.8263518223330697
101,1.8091910046234552
102,1.7920883091822408
103,1.7750489456561351
104,1.7580781044003322
105,1.7411809548974793
106,1.724362644183001
107,1.7076282952772632
108,1.6909830056250525
109,1.6744318455428435
110,1.6579798566743313
111,1.6416320504546997
112,1.625393406584088
113,1.6092688715107264
114,1.5932633569241998
115,1.5773817382593007
116,1.5616288532109226
117,1.5460095002604533
118,1.5305284372141095
119,1.515190379753663
120,1.5000000000000002
121,1.4849619250899457
122,1.4700807357667953
123,1.4553609649849728
124,1.4408070965292534
125,1.4264235636489542
126,1.412214747707527
127,1.3981849768479515
128,1.3843385246743418
129,1.3706796089501627
130,1.3572123903134607
131,1.3439409710094925
132,1.3308693936411418
133,1.3180016399375016
134,1.305341629541003
135,1.2928932188134525
136,1.2806601996613487
137,1.2686462983808295
138,1.256855174522606
139,1.2452904197772279
140,1.233955556881022
141,1.2228540385430293
142,1.2119892463932782
143,1.2013644899527072
144,1.1909830056250525
145,1.1808479557110083
146,1.1709624274449584
147,1.161329432054576
148,1.1519519038435742
149,1.1428326992978879
150,1.1339745962155612
151,1.1253802928606043
152,1.1170524071410732
153,1.1089934758116322
154,1.101205953700833
155,1.09369221296335
156,1.0864545423573992
157,1.07949514654756
158,1.0728161454332126
159,1.0664195735027984
160,1.0603073792140916
161,1.0544814244006833
162,1.0489434837048464
163,1.0436952440369645
164,1.0387383040616813
165,1.0340741737109318
166,1.0297042737240036
167,1.0256299352147646
168,1.0218523992661943
169,1.0183728165523362
170,1.0151922469877919
171,1.0123116594048622
172,1.0097319312584299
173,1.007453848358678
174,1.0054781046317267
175,1.0038053019082545
176,1.0024359497401758
177,1.0013704652454263
178,1.0006091729809041
