time,r,cor,ior,sor
0,3.0,0.49946537788964207,0.5,0.4956
1,2.999847695156391,0.4993040227255341,0.4999847688660996,
2,2.999390827019096,0.49911189756337326,0.4999390723094242,
3,2.9986295347545737,0.4988889394768428,0.4998629008647211,
4,2.9975640502598244,0.4986350788066468,0.4997562387554823,
5,2.9961946980917453,0.49835023911273835,0.49961906389231875,
6,2.9945218953682735,0.49803433712484385,0.49945134787070405,
7,2.992546151641322,0.4976872826912099,0.4992530559681015,
8,2.99026806874157,0.4973089787255047,0.49902414714049853,
9,2.9876883405951378,0.49689932115180163,0.4987645740183759,
10,2.984807753012208,0.49645819884757175,0.49847428290214046,
11,2.9816271834476638,0.49598549358461397,0.49815321375706373,
12,2.9781476007338057,0.4954810799678499,0.4978013002077681,
13,2.9743700647852354,0.4949448253719031,0.4974184695323072,
14,2.9702957262759964,0.4943765898753869,0.49700464265589667,
15,2.965925826289068,0.4937762261928198,0.4965597341443574,
16,2.961261695938319,0.49314357960407884,0.4960836521973334,
17,2.9563047559630355,0.4924784878813058,0.4955762986413618,
18,2.9510565162951536,0.4917807812131676,0.4950375689228725,
19,2.945518575599317,0.4910502821263707,0.49446735210120335,
20,2.9396926207859084,0.49028680540432074,0.4938655308417263,
21,2.9335804264972016,0.4894901580028095,0.49323198140918717,
22,2.9271838545667874,0.4886601389626018,0.49256657366136264,
23,2.9205048534524405,0.48779653931878547,0.4918691710431601,
24,2.9135454576426008,0.48689914200672857,0.49113963058128024,
25,2.90630778703665,0.48596772176447867,0.490377802879582,
26,2.898794046299167,0.4850020450314169,0.4895835321152915,
27,2.891006524188368,0.48400186984296023,0.48875665603621504,
28,2.882947592858927,0.4829669457210779,0.48789700595911595,
29,2.874619707139396,0.4818970135603649,0.48700440676943657,
30,2.866025403784439,0.4807918055093748,0.48607867692255335,0.484
31,2.8571673007021126,0.47965104484688037,0.4851196284467657,
32,2.848048096156426,0.4784744458526848,0.4841270669482302,
33,2.838670567945424,0.47726171367254705,0.4831007916180748,
34,2.8290375725550416,0.47601254417673133,0.482040595241925,
35,2.819152044288992,0.4747266238116075,0.4809462642121109,
36,2.8090169943749475,0.47340362944365183,0.47981757854281903,
37,2.798635510047293,0.47204322819508715,0.4786543118884838,
38,2.788010753606722,0.47064507727028926,0.4774562315657266,
39,2.777145961456971,0.46920882377194084,0.47622309857916745,
40,2.766044443118978,0.4677341045057498,0.4749546676514565,
41,2.754709580222772,0.46622054577234984,0.4736506872578926,
42,2.743144825477394,0.46466776314477526,0.47231089966601764,
43,2.7313537016191707,0.4630753612296237,0.47093504098059746,
44,2.719339800338651,0.46144293340970005,0.46952284119442594,
45,2.7071067811865475,0.45977006156555744,0.4680740242454129,
46,2.6946583704589973,0.45805631577290146,0.46658830808044505,
47,2.6819983600624986,0.4563012539723011,0.46506540472653146,
48,2.6691306063588582,0.4545044216070284,0.4635050203697844,
49,2.6560590289905073,0.45266535122413026,0.4619068554428041,
50,2.6427876096865393,0.45078356203298464,0.4602706047210828,
51,2.6293203910498377,0.44885855941460456,0.4585959574290629,
52,2.615661475325658,0.4468898343738057,0.45688259735653164,
53,2.6018150231520485,0.44487686292501094,0.4551302029860623,
54,2.5877852522924734,0.44281910540092745,0.4533384476322587,
55,2.573576436351046,0.4407160056715444,0.4515069995935929,
56,2.5591929034707466,0.4385669902588685,0.44963552231767473,
57,2.544639035015027,0.43637146733047744,0.4477236745808304,
58,2.5299192642332047,0.4341288255523437,0.44577111068292075,
59,2.5150380749100543,0.431838432778404,0.44377748065836753,
60,2.5,0.4294996345510287,0.4417424305044161,0.4318
61,2.4848096202463372,0.42711175238286975,0.4396656024277098,
62,2.4694715627858908,0.42467408178652755,0.43754663511030456,
63,2.4539904997395467,0.42218589001410306,0.43538516399631166,
64,2.4383711467890774,0.4196464134640365,0.43318082160041127,
65,2.4226182617406993,0.4170548547077278,0.43093323783954157,
66,2.4067366430758,0.4144103790834175,0.4286420403891296,
67,2.390731128489274,0.41171211079980474,0.4263068550652924,
68,2.374606593415912,0.40895912848711746,0.4239273062345065,
69,2.3583679495453005,0.4061504601290915,0.4215030172523049,
70,2.342020143325669,0.403285077305933,0.4190336109326392,
71,2.325568154457157,0.40036188867627753,0.4165187100496037,
72,2.3090169943749475,0.39737973262600323,0.4139579378733035,
73,2.2923717047227368,0.39433736901421257,0.4113509187417085,
74,2.275637355816999,0.3912334699526144,0.4086972786704215,
75,2.2588190451025207,0.38806660956495775,0.4059966460023572,
76,2.241921895599668,0.384835252689272,0.4032486520994036,
77,2.224951054343865,0.3815377425088684,0.4004529320782189,
78,2.2079116908177596,0.3781722871299279,0.39760912559238604,
79,2.190808995376545,0.37473694516579176,0.394716877663227,
80,2.1736481776669305,0.37122961044273334,0.3917758395616485,
81,2.1564344650402307,0.3676479960110173,0.38878566974346196,
82,2.1391731009600656,0.36398961773053723,0.3857460348406985,
83,2.1218693434051477,0.36025177780426443,0.3826566107114886,
84,2.1045284632676533,0.35643154875689387,0.3795170835511596,
85,2.087155742747658,0.3525257585018142,0.37632715106724013,
86,2.0697564737441256,0.3485309773074716,0.3730865237211278,
87,2.052335956242944,0.3444435076639168,0.36979492603921055,
88,2.034899496702501,0.3402593782599142,0.3664520979962758,
89,2.0174524064372834,0.33597434350642963,0.3630577964740563,
90,2.0,0.3315838902769957,0.35961179679779254,0.3306
91,1.9825475935627166,0.32708325376930136,0.35611389435367685,
92,1.9651005032974993,0.32246744461122223,0.3525639062900476,
93,1.9476640437570565,0.31773128951931645,0.34896167330516037,
