time,0.1,0.41,1,10,100,1000000
0,0.16135,0.4514,0.66195,0.9109,0.93455,0.94005
31,0.15315,0.43195,0.6428,0.89875,0.9243,0.92765
59,0.1326,0.38945,0.5999,0.8523,0.8869,0.8877
90,0.1016,0.30185,0.47605,0.73495,0.7685,0.77655
120,0.05045,0.13915,0.2351,0.39505,0.4251,0.4277
151,0.01765,0.0378,0.06415,0.114,0.1248,0.1246
181,0.015,0.04755,0.0803,0.1399,0.1529,0.1529
212,0.0389,0.1174,0.20225,0.3388,0.35775,0.3574
243,0.08435,0.2393,0.37495,0.59705,0.63115,0.6337
273,0.11625,0.3375,0.5217,0.7749,0.8077,0.8113
304,0.14365,0.4097,0.6115,0.8691,0.89445,0.90115
334,0.15835,0.44165,0.6505,0.9021,0.9345,0.9317
365,0.16135,0.4514,0.66195,0.9109,0.93455,0.94005
396,0.15315,0.43195,0.6428,0.89875,0.9243,0.92765
424,0.1326,0.38945,0.5999,0.8523,0.8869,0.8877
455,0.1016,0.30185,0.47605,0.73495,0.7685,0.77655
485,0.05045,0.13915,0.2351,0.39505,0.4251,0.4277
516,0.01765,0.0378,0.06415,0.114,0.1248,0.1246
546,0.015,0.04755,0.0803,0.1399,0.1529,0.1529
577,0.0389,0.1174,0.20225,0.3388,0.35775,0.3574
608,0.08435,0.2393,0.37495,0.59705,0.63115,0.6337
638,0.11625,0.3375,0.5217,0.7749,0.8077,0.8113
669,0.14365,0.4097,0.6115,0.8691,0.89445,0.90115
699,0.15835,0.44165,0.6505,0.9021,0.9345,0.9317
