time,r_unvacc,r,susceptibility,cor,ior,cor_unvacc,ior_unvacc
0,3.0,1.862905688588425,0.6209685628628083,0.2008076460546765,0.19696059122588233,0.3110720837962813,0.31128200191520433
1,2.999925919604558,1.8672690326242372,0.6224383810352142,0.2013402071143451,0.19758728588170735,0.31101337215402186,0.3112766973718815
2,2.999703700369852,1.8715648005007088,0.6239165555817903,0.20186021184690983,0.19820214396513858,0.31094404437678885,0.3112607841830126
3,2.999333408144238,1.8757868548063903,0.625401247394829,0.20236760486051852,0.1988044034301187,0.31086410266095577,0.31123426367240237
4,2.998815152653293,1.8799318765118662,0.6268915491001635,0.2028623597962663,0.19939371095945427,0.3107735501157472,0.31119713804809235
5,2.998149087467304,1.8839979745300903,0.6283870213144083,0.20334444956788417,0.1999699181872116,0.31067239077134917,0.31114941040490585
6,2.9973354099557605,1.8879848985168481,0.6298877637270212,0.20381385441902977,0.20053310822964987,0.31056062958808706,0.31109108472801705
7,2.9963743612288702,1.8918911320670302,0.631393445541007,0.20427057060410408,0.20108318328043293,0.31043827246667316,0.3110221658975388
8,2.995266226066111,1.8957151197547608,0.6329037142867042,0.20471458742678716,0.201620039337758,0.31030532625953544,0.3109426596941303
9,2.9940113328318487,1.899456835669139,0.6344187194083067,0.2051458785958614,0.2021437854193756,0.310161798783226,0.31085257280562995
10,2.9926100533780304,1.9031162110110207,0.6359385877430976,0.20556443057459775,0.20265452125542707,0.31000769883192175,0.3107519128347097
11,2.9910628029340005,1.906691483354462,0.6374628715532638,0.20597025741869707,0.2031521080188322,0.3098430361920214,0.31064068830755387
12,2.9893700399834575,1.9101806973030897,0.6389910488678278,0.20636336831129837,0.20363637958108596,0.30966782165784373,0.3105189086835664
13,2.9875322661285972,1.9135840437221534,0.6405233059463746,0.20674374421245387,0.20410746610292602,0.3094820670484344,0.31038658436610367
14,2.985550025941475,1.916902419745565,0.6420600569709367,0.20711137256888276,0.20456559152034987,0.3092857852254914,0.310243726714238
15,2.9834239068026385,1.9201341407343118,0.6436008427619447,0.2074662721407546,0.2050106201929772,0.30907899011240814,0.3100903480555539
16,2.9811545387270746,1.923277098993486,0.645145051693532,0.20780845829860203,0.20544235755554202,0.3088616967144495,0.3099264616999742
17,2.9787425941775196,1.926331544553328,0.6466928523191915,0.20813791469870932,0.2058609313028911,0.3086339211400628,0.3097520819546263
18,2.976188787865199,1.9292987779760562,0.648244757134486,0.2084546352270113,0.2062666090198443,0.30839568062333383,0.3095672241397433
19,2.9734938765380377,1.9321768756471147,0.6498001865390416,0.20875865212458214,0.20665921420355524,0.3081469935475913,0.3093719046056041
20,2.970658658756424,1.934963538090172,0.6513584226133156,0.20904999043607864,0.2070385184432919,0.3078878794701691,0.30916614075051774
21,2.967683974656574,1.9376595180508351,0.6529197632221149,0.2093286371862274,0.20740470694603205,0.30761835914833235,0.30894995103985007
