time,r_unvacc,r,susceptibility,cor,cor_unvacc
0,3.0,2.2948732481383916,0.7649577493794638,0.4547753522955137,0.5458653984637476
1,2.999923847578196,2.2973832826169356,0.7658138670658545,0.4550969937391519,0.5457826525276943
2,2.9996954135095475,2.2997898313740284,0.7666744500180263,0.4554008308391065,0.5456839446751356
3,2.999314767377287,2.3020944821541263,0.7675401418995325,0.4556868331066018,0.5455692731624312
4,2.9987820251299127,2.304295919203673,0.7684106080047104,0.45595503171317997,0.5454386368862569
5,2.9980973490458727,2.3063913960142464,0.7692850256340883,0.456205460879949,0.5452920353976631
6,2.9972609476841368,2.3083812498915344,0.7701635894182414,0.45643809182387435,0.5451294689182151
7,2.9962730758206613,2.310267528690987,0.7710470542002313,0.45665289744072096,0.5449509383582362
8,2.9951340343707855,2.312048682341613,0.7719349637811203,0.4568499108301714,0.5447564453371636
9,2.9938441702975687,2.313722273282826,0.772826553979547,0.4570291614369604,0.5445459922060376
10,2.992403876506104,2.3152889031242685,0.773722063823675,0.45719061958130425,0.5443195820721392
11,2.990813591723832,2.31675058984834,0.7746221951977359,0.457334274313015,0.5440772188257933
12,2.989073800366903,2.318105303314707,0.7755262861124956,0.45746017721418314,0.5438189071693624
13,2.9871850323926177,2.319350869809209,0.776433613806474,0.4575683557196236,0.5435446526484435
14,2.985147863137998,2.320488921439325,0.7773447171893251,0.4576587748178961,0.5432544616852927
15,2.982962913144534,2.3215213127389664,0.7782601997862926,0.457731430547538,0.5429483416145018
16,2.9806308479691594,2.322445687225355,0.7791792428128911,0.45778637794660676,0.5426263007209432
17,2.9781523779815178,2.3232602523501056,0.7801012028554181,0.4578236377928066,0.5422883482800124
18,2.975528258147577,2.3239672407411485,0.7810267754566514,0.45784318649803957,0.5419344946001874
19,2.9727592877996583,2.3245676679201015,0.7819562375804306,0.4578450418750931,0.5415647510679319
20,2.969846310392954,2.3250592181197067,0.7828887340005374,0.4578292552595716,0.5411791301949668
21,2.9667902132486006,2.325441423644584,0.7838240173706966,0.4577958387918754,0.5407776456679356
22,2.9635919272833937,2.3257164386811047,0.7847627121906072,0.45774478907458244,0.540360312400488
23,2.9602524267262202,2.3258841712259763,0.7857046751240064,0.4576761409877968,0.5399271465878107
24,2.9567727288213,2.325943163240403,0.7866492884516108,0.45758993555577543,0.5394781657636301
25,2.953153893518325,2.325893932679186,0.787596588780602,0.4574861764791257,0.5390133888597117
26,2.949397023149584,2.3257382875535466,0.7885470383603872,0.4573648775018335,0.5385328362678891
27,2.945503262094184,2.325475424804521,0.789500203490239,0.45722609729511055,0.5380365299046411
28,2.9414737964294635,2.325104166046374,0.790455508687082,0.45706988079486943,0.53752449327825
29,2.937309853569698,2.324625987647071,0.7914132670824512,0.45689622458228285,0.5369967515585634
30,2.933012701892219,2.324042920054941,0.7923739704760214,0.4567051487166498,0.5364533316493879
31,2.9285836503510563,2.3233537013523318,0.7933369774408956,0.4564967312690548,0.535894262263538
32,2.924024048078213,2.3225570014384638,0.7943016073910001,0.4562710274140957,0.5353195740005657
33,2.9193352839727122,2.3216549952669925,0.7952683640049799,0.45602803412482473,0.5347292994271953
34,2.9145187862775206,2.320650086201532,0.7962378205032985,0.4557677826877375,0.5341234731604839
35,2.909576022144496,2.319540603075756,0.797209141614435,0.45549036936919995,0.5335021319537336
36,2.9045084971874733,2.3183252460026345,0.7981816022392572,0.4551958559348163,0.5328653147851695
37,2.8993177550236466,2.3170070492407913,0.7991559549573737,0.4548842513874655,0.5322130629494082
38,2.8940053768033613,2.3155880469760377,0.8001326001452604,0.4545556080759002,0.5315454201517298
39,2.8885729807284855,2.314066465897195,0.8011106111342209,0.4542100255268294,0.5308624326051705
40,2.8830222215594894,2.3124420591724792,0.8020895717972056,0.4538475640673216,0.5301641491304474
41,2.877354790111386,2.3107179086595244,0.803070207609008,0.4534682569463814,0.5294506212587256
42,2.871572412738697,2.3088950767271115,0.804052534592034,0.45307218110562325,0.5287219033372368
43,2.865676850809585,2.3069724493933395,0.8050357976481524,0.45265943635018085,0.5279780526377524
44,2.8596699001693255,2.3049507929954993,0.8060198811264963,0.4522300849117856,0.527219129467913
45,2.8535533905932735,2.302832851269711,0.8070053494919667,0.45178418300138945,0.526445197285411
46,2.8473291852294986,2.30061918120122,0.8079919923329086,0.4513218325175247,0.5256563228150223
47,2.8409991800312495,2.2983090300551687,0.8089791247422636,0.45084313856990416,0.5248525761684745
48,2.8345653031794296,2.2959040600416887,0.8099668959704177,0.4503481632445251,0.5240340309671371
49,2.828029514495254,2.2934070200339183,0.8109558292368971,0.44983698032053876,0.5232007644675143
50,2.82139380484327,2.2908179358222616,0.8119454759877158,0.44930972147882065,0.5223528576895138
51,2.814660195524919,2.288136047565625,0.812935092912308,0.44876651415269886,0.5214903955474627
52,2.807830737662829,2.2853636301717914,0.8139249989385304,0.44820743633727134,0.5206134669838293
53,2.800907511576024,2.282503731125993,0.8149157805791545,0.44763258360690017,0.519722165105612
54,2.7938926261462367,2.279556151688207,0.8159068571051418,0.44704210448283144,0.5188165873233391
55,2.7867882181755235,2.276520618653086,0.8168976041327951,0.44643613509333013,0.5178968354926263
56,2.7795964517353733,2.2733998493220153,0.8178884556794831,0.4458147772292491,0.5169630160582199
57,2.7723195175075133,2.2701962185993367,0.8188797157985539,0.44517815906262637,0.5160152402004562
58,2.764959632116603,2.2669097365811113,0.8198708256893321,0.44452645038455285,0.5150536239840481
59,2.7575190374550274,2.2635407489778756,0.8208613315928166,0.44385980076050546,0.5140782885091097
60,2.75,2.260092263353843,0.8218517321286701,0.44317833506578463,0.5130893600643116
61,2.7424048101231686,2.256566318282958,0.8228421675578996,0.44248221174156166,0.5120869702820545
62,2.734735781392945,2.252962984834794,0.823832049942039,0.4417716210554624,0.5110712562955358
63,2.7269952498697734,2.249283199446292,0.824821091842278,0.44104672404761025,0.5100423608975699
64,2.7191855733945385,2.245530228987484,0.8258098494485026,0.4403076637864186,0.509000432701015
65,2.7113091308703496,2.2417059072438876,0.8267983468651117,0.4395546288318501,0.5079456263006396
66,2.7033683215379,2.2378100578355817,0.8277858551521865,0.4387878385775361,0.5068781024362573
67,2.6953655642446375,2.233844071463473,0.8287722085258207,0.4380074841773606,0.5057980281569342
68,2.687303296707956,2.2298112293894494,0.8297579332117253,0.43721374605174734,0.504705576986066
69,2.6791839747726502,2.225713304737672,0.8307429895427547,0.4364068445935228,0.5036009290871029
70,2.671010071662834,2.221550507789246,0.8317267431366225,0.4355870120365081,0.5024842714296848
71,2.6627840772285785,2.2173249932167685,0.8327092730419798,0.4347544556388018,0.5013557979559327
72,2.6545084971874737,2.2130397998586635,0.8336909835487214,0.43390940087768964,0.5002157097466235
73,2.6461858523613686,2.2086957819427417,0.8346714498423362,0.4330521147565142,0.49906421518696314
74,2.6378186779084993,2.204293721636255,0.8356502060194744,0.4321828513235609,0.4979015301316426
75,2.6294095225512604,2.1998367796223324,0.8366276765773166,0.43130183950639744,0.49672787806885926
76,2.6209609477998344,2.1953276846410503,0.837604118628291,0.4304093447898964,0.49554349028295025
77,2.6124755271719327,2.190766827436254,0.8385788898883243,0.42950567454530275,0.4943486060152731
78,2.60395584540888,2.186155405702924,0.8395516419978497,0.4285911129373736,0.4931434726229502
79,2.595404497688272,2.1814970243185754,0.8405229420930863,0.42766591841784296,0.49192834573506694
80,2.5868240888334655,2.176794286826252,0.8414929705590777,0.4267303827290759,0.49070348940589414
81,2.578217232520115,2.1720478393831426,0.842461144075142,0.42578483678502016,0.4894691762646875
82,2.5695865504800333,2.167259064985437,0.8434271515705762,0.42482960642448275,0.4882256876615937
83,2.560934671702574,2.1624309593480495,0.8443913010519752,0.4238650092058311,0.4869733138091664
84,2.552264231633827,2.1575658985292554,0.8453536557020563,0.4228913822707973,0.4857123539189821
85,2.543577871373829,2.1526653495855617,0.8463139162406972,0.42190907756943075,0.4844431163328196
86,2.534878236872063,2.147731422258783,0.8472720271207175,0.4209184438755776,0.4831659186478447
87,2.526167978121472,2.1427667398069374,0.8482281298650448,0.4199198405291785,0.4818810878352249
88,2.5174497483512503,2.1377732212245824,0.8491820830285375,0.4189136562184848,0.4805889603515757
89,2.508726203218642,2.1327523506788415,0.8501335649711658,0.41790028780531446,0.47928988224262337
90,2.5,2.127706600683912,0.8510826402735647,0.41688011533742414,0.47798420923844304
91,2.4912737967813583,2.1226390793998475,0.8520296252231391,0.41585353107582274,0.4766723068396275
92,2.4825502516487497,2.117551514980536,0.8529742806109142,0.4148209699015643,0.47535455039370794
93,2.473832021878528,2.112445043352923,0.8539161206866495,0.41378287587383633,0.47403132516114677
94,2.465121763127937,2.107322384927047,0.8548552921187607,0.4127396671282773,0.4727030263702009
95,2.456422128626171,2.1021869811098086,0.8557922340023539,0.41169176776876887,0.4713700592599463
96,2.447735768366173,2.0970406283560292,0.8567267167713011,0.4106396406188097,0.4700328391107399
97,2.439065328297426,2.0918845896297316,0.85765828629525,0.40958376519028455,0.4686917912613942
98,2.430413449519967,2.0867213721596083,0.8585869916790323,0.4085246163719822,0.4673473511123256
99,2.4217827674798844,2.0815537642765576,0.8595129968831308,0.40746267604487446,0.4659999641139434
100,2.413175911166535,2.076383920052984,0.8604362037781386,0.40639844171062667,0.4646500857395391
101,2.404595502311728,2.071213902914092,0.8613564738530328,0.40533241580148843,0.4632981814419487
102,2.39604415459112,2.0660462696364625,0.8622738715718822,0.40426510509271296,0.4619447265932519
103,2.3875244728280673,2.0608833978154433,0.8631883866615567,0.40319703551123204,0.46059020640680176
104,2.379039052200166,2.0557272263753363,0.8640998240336464,0.40212875210574656,0.45923511584087556
105,2.3705904774487396,2.0505798040764143,0.8650080322111455,0.4010607945859803,0.4578799594832661
106,2.3621813220915007,2.0454440774164184,0.8659132380258432,0.399993699012892,0.4565252514161503
107,2.353814147638632,2.0403225980866866,0.8668155045858473,0.39892803159971907,0.45517151506059955
108,2.3454915028125263,2.0352167844451667,0.8677144138039712,0.39786438232335747,0.4538192830001285
109,2.3372159227714215,2.0301286986482197,0.8686098185746294,0.3968033211367519,0.45246909678271346
110,2.328989928337166,2.025061871286581,0.8695022020693833,0.39574540880974085,0.45112150670075396
111,2.3208160252273498,2.020018690277097,0.8703915641392617,0.3946912366592841,0.44977707154849683
112,2.312696703292044,2.0150004574821447,0.8712774375532516,0.39364141468550246,0.4484363583564926
113,2.3046344357553634,2.0100094683745757,0.8721597825625556,0.3925965448055441,0.44709994210270837
114,2.2966316784621,2.005048659495904,0.8730388413167542,0.3915572350728561,0.4457684053999845
115,2.2886908691296504,2.000120065698511,0.873914469042786,0.3905241122740719,0.4444423381595888
116,2.280814426605461,1.9952255607377232,0.8747864523582569,0.38949780051283295,0.44312233723068517
117,2.2730047501302266,1.9903678950345434,0.8756549650503413,0.38847891451911426,0.4418090060156214
118,2.265264218607055,1.9855496848839667,0.8765201288990965,0.3874680853239038,0.44050295406100803
119,2.2575951898768314,1.9807726018861702,0.8773816540574026,0.3864659643728413,0.4392047966246559
120,2.25,1.976038532929064,0.8782393479684729,0.38547319353344955,0.43791515421851507
121,2.242480962544973,1.9713503531570271,0.8790934621446052,0.3844903995222468,0.4366346521278619
122,2.235040367883397,1.9667107006113995,0.8799441517353406,0.3835182272642903,0.4353639199070657
