time,r_unvacc,r,susceptibility,cor,ior,cor_unvacc,ior_unvacc
0,3.0,1.6651008442734656,0.5550336147578219,0.24400714585230754,0.2492763459833672,0.44929131458251564,0.4495501143604766
1,2.999923847578196,1.661742693540051,0.5539282921736686,0.24339238410739641,0.24845060442150652,0.4492149602666095,0.4495429709293819
2,2.9996954135095475,1.6583233905326027,0.55283059175412,0.2428176622763285,0.24760696890832473,0.4491243015409923,0.44952154106410674
3,2.999314767377287,1.6548430634044504,0.5517403779702346,0.2422918468664499,0.24674529987219435,0.4490193389307141,0.4494858260494997
4,2.9987820251299127,1.6513017819589857,0.5506574896478007,0.24182512341637727,0.24586543897755128,0.44890007385875264,0.4494358280297053
5,2.9980973490458727,1.647700494791495,0.5495820525360413,0.2414292026123127,0.24496744288683545,0.44876650865821777,0.44937155001226065
6,2.9972609476841368,1.6440399799345042,0.5485141296104992,0.24111758718327816,0.24405132412925123,0.4486186465862684,0.4492929958738357
7,2.9962730758206613,1.640320207028814,0.5474535082485898,0.24090587215301004,0.24311688984893207,0.4484564918397589,0.44920017036761206
8,2.9951340343707855,1.6365415773327894,0.5464001138355039,0.24081212848728514,0.24216405123005488,0.44828004957262185,0.449093079132309
9,2.9938441702975687,1.6327052701151912,0.5453541257469359,0.24085725938273814,0.24119291337039908,0.4480893259150012,0.4489717287028594
10,2.992403876506104,1.6288121858884637,0.5443156248648647,0.24106491626661064,0.24020351007586183,0.4478843279941487,0.44883612652273297
11,2.990813591723832,1.6248623628197363,0.5432843983710818,0.24146451863950982,0.23919565334279605,0.4476650639570921,0.4486862809579203
12,2.989073800366903,1.6208561481503019,0.5422603309263709,0.24210142894160752,0.2381692296346469,0.44743154299509597,0.44852220131257353
13,2.9871850323926177,1.6167945384042226,0.5412435188553532,0.24298831688232328,0.2371242891403388,0.44718377536992326,0.44834389784631357
14,2.985147863137998,1.612679243432709,0.5402342923601295,0.24398491803758549,0.2360610658712396,0.4469217724419112,0.44815138179320696
15,2.982962913144534,1.6158414884913226,0.5416901032765304,0.2449863629072165,0.23687846173403582,0.4466455466998842,0.4479446653824207
16,2.9806308479691594,1.6200252303621785,0.5435175682577318,0.24597424705009172,0.23795581254056225,0.44635511179290727,0.44772376186055907
17,2.9781523779815178,1.6244520074932653,0.5454563102624921,0.2469428110760778,0.23909071096365356,0.44605048256390645,0.447488685515687
18,2.975528258147577,1.62891813154074,0.547438300100308,0.24788989878315215,0.24023048763391058,0.44573167508516537,0.4472394517030535
19,2.9727592877996583,1.6333523199349582,0.5494398172897186,0.24881466663261145,0.24135697637949102,0.4453987066957153,0.446976076872516
20,2.969846310392954,1.6377258053494488,0.5514513662266765,0.24971679648080167,0.24246306604355045,0.4450515960406366,0.4466985785976747
21,2.9667902132486006,1.6420265551812077,0.5534690480804869,0.2505961921507961,0.2435459745386326,0.4446903631122879,0.44640697560672643
22,2.9635919272833937,1.646248822355162,0.5554910604255197,0.25145285301578457,0.2446045378638161,0.4443150292934763,0.4461012878150429
23,2.9602524267262202,1.6503900043905917,0.5575166460435195,0.2522868176655158,0.2456383917384955,0.44392561740258923,0.4457815363594853
24,2.9567727288213,1.654448458603843,0.5595453591941708,0.25309812856843955,0.2466474121836893,0.44352215174070303,0.4454477436344575
25,2.953153893518325,1.65842388104191,0.5615771953780908,0.25388683757992403,0.2476318039320789,0.4431046581406827,0.44509993332971093
26,2.949397023149584,1.6623151712417579,0.5636118698820056,0.25465301900779785,0.24859156814922695,0.44267316401829304,0.4447381304699067
27,2.945503262094184,1.666121034630955,0.5656490203464863,0.25539674842102683,0.24952665402086863,0.44222769842533316,0.44436236145594277
28,2.9414737964294635,1.6698412596529073,0.5676886401911383,0.2561180904108159,0.25043727158339335,0.4417682921048103,0.4439726541080549
29,2.937309853569698,1.6734757170200298,0.5697307401826414,0.2568171187770889,0.2513236431958932,0.44129497754817326,0.443569037710696
30,2.933012701892219,1.6770234613994355,0.5717750422006396,0.2574939306749769,0.2521857854210245,0.44080778905461165,0.44315154305920573
31,2.9285836503510563,1.6804833844547369,0.5738211999692389,0.25814862541777256,0.2530236704508492,0.4403067627924413,0.4427202025082725
32,2.924024048078213,1.683855316359929,0.5758691750386344,0.258781281399569,0.2538374921211287,0.43979193686258533,0.44227505002219486
33,2.9193352839727122,1.6871397670830142,0.5779191504125925,0.25939198171943617,0.25462760002549045,0.43926335136416517,0.4418161212269502
34,2.9145187862775206,1.6903359267814686,0.5799708462131404,0.25998084245661046,0.2553940183519583,0.4387210484622097,0.44134345346407333
35,2.909576022144496,1.6934424326191455,0.5820237793171659,0.260547980427549,0.25613663402627634,0.4381650724574964,0.44085708584635097
36,2.9045084971874733,1.6964593779696553,0.5840779531588185,0.2610934731139668,0.25685567678402704,0.4375954698585279,0.4403570593153314
37,2.8993177550236466,1.6993882140929064,0.5861338279146455,0.26161741119352866,0.25755169071329814,0.43701228945565374,0.4398434167006585
38,2.8940053768033613,1.7022275796762674,0.5881908835831193,0.26211994172583364,0.2582245430569513,0.4364155823973436,0.43931620278122574
39,2.8885729807284855,1.7049755309715178,0.590248382971972,0.26260120094798123,0.25887395995079826,0.4358054022686124,0.43877546434814974
40,2.8830222215594894,1.707633133628753,0.5923066152105678,0.26306126232527605,0.2595003735434822,0.4351818051715992,0.4382212502695695
41,2.877354790111386,1.7102026645688067,0.5943662806012888,0.2635002212830554,0.26010449062940694,0.4345448498083009,0.437653611557258
42,2.871572412738697,1.7126821438605415,0.5964265906243018,0.2639182429452597,0.2606860086999444,0.4338945975654543,0.437072601435052
43,2.865676850809585,1.715069449294531,0.5984866886892726,0.2643154771845346,0.261244589723199,0.43323111260156383,0.4364782754090864
44,2.8596699001693255,1.7173663242275303,0.6005470505969386,0.26469202114622814,0.26178079477462957,0.43255446193606106,0.4358706913398304
45,2.8535533905932735,1.7195745326339578,0.6026081510521331,0.26504799764729253,0.2622951793866243,0.4318647155405885,0.4352499095159131
46,2.8473291852294986,1.7216923861878668,0.6046692441180088,0.2653835791603095,0.262787487517218,0.4311619464323898,0.43461599272972673
