time,r_unvacc,r,susceptibility,cor,cor_unvacc
0,3.0,2.578411848237206,0.8594706160790686,0.40543762192037497,0.44929131458251564
1,2.999923847578196,2.5797146084458547,0.85992669798216,0.4055169070446497,0.4492149602666095
2,2.9996954135095475,2.5808952923244184,0.8603857847370089,0.40558160233178175,0.4491243015409923
3,2.999314767377287,2.5819545253038427,0.8608481355098319,0.40563168974114183,0.4490193389307141
4,2.9987820251299127,2.5828928020109645,0.8613139535872297,0.40566716703301187,0.44890007385875264
5,2.9980973490458727,2.583708830581497,0.861782834171061,0.4056880573953374,0.44876650865821777
6,2.9972609476841368,2.584401574156905,0.8622544447302022,0.4056943712018539,0.4486186465862684
7,2.9962730758206613,2.584972049818418,0.862729125285221,0.40568609218418544,0.4484564918397589
8,2.9951340343707855,2.5854212920922293,0.8632072095682929,0.4056632183243003,0.44828004957262185
9,2.9938441702975687,2.585748011234147,0.8636882429913313,0.40562577713381837,0.4480893259150012
10,2.992403876506104,2.585951195251243,0.8641718504490675,0.40557378719434667,0.4478843279941487
11,2.990813591723832,2.5860318209908923,0.8646583084104439,0.40550723613604933,0.4476650639570921
12,2.989073800366903,2.585991380818708,0.8651480537219532,0.40542611972391557,0.44743154299509597
13,2.9871850323926177,2.585828929467126,0.8656406956471587,0.4053304661340984,0.44718377536992326
14,2.985147863137998,2.585543296966794,0.8661357545782882,0.4052202990451575,0.4469217724419112
15,2.982962913144534,2.5851354685079193,0.866633459342195,0.4050956122043919,0.4466455466998842
16,2.9806308479691594,2.5846071803793684,0.8671342786847891,0.4049564114226285,0.44635511179290727
17,2.9781523779815178,2.583957419222433,0.8676377469220512,0.40480273322090676,0.44605048256390645
18,2.975528258147577,2.5831852625404776,0.8681434146918996,0.40463459781205136,0.44573167508516537
19,2.9727592877996583,2.5822925208595997,0.8686517376154361,0.40445199854642233,0.4453987066957153
20,2.969846310392954,2.5812805888762895,0.8691630202691359,0.4042549528623649,0.4450515960406366
21,2.9667902132486006,2.580148099054365,0.8696766247685349,0.4040435045830968,0.4446903631122879
22,2.9635919272833937,2.578894742158686,0.8701922550189478,0.40381767302891386,0.4443150292934763
23,2.9602524267262202,2.5775228430802613,0.8707104907032458,0.40357745975593695,0.44392561740258923
24,2.9567727288213,2.5760332147981684,0.8712313901194186,0.4033228935953134,0.44352215174070303
25,2.953153893518325,2.5744247458194063,0.8717543476043814,0.4030540186007991,0.4431046581406827
