time,antibodies,susceptibility
0,0.0,1.0
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,1740.0778801167328,0.09097698592180482
6,2584.185476777475,0.055542703996543014
7,2923.719565813857,0.04745195849832316
8,3052.607777396509,0.04489817657139784
9,3094.7117370902106,0.044115013193828996
10,3099.859356567827,0.044020886657569654
11,3089.5828768205965,0.044209143933854146
12,3073.4092150836163,0.04450827191190633
13,3054.439508798875,0.044863605202578725
14,3034.0429409906333,0.045251181767304374
15,3014.051858908772,0.04563671460089253
16,2993.2060162520593,0.04604482910899323
17,2972.0932272214695,0.046464653884673655
18,2952.133655211465,0.04686767965611377
19,2931.9201820995536,0.04728204004439244
20,2910.573637167595,0.0477265599999724
21,2888.8750598947736,0.0481858768048232
22,2869.002086393751,0.04861330471619716
23,2849.8881818273208,0.049030635994613235
24,2828.862738253751,0.049496915207363774
25,2806.5492776811616,0.050000214322653065
26,2786.7544314028246,0.05045416473912501
27,2768.816728493596,0.05087172119839376
28,2748.0361371112845,0.05136298335424612
29,2724.8096555920856,0.051921858227102706
30,2704.800176277503,0.052411817054007354
31,2687.8949828440213,0.052832031167632486
32,2667.4303558283646,0.053348575601268315
33,2643.973641181288,0.05395147538064853
34,2624.7560145670263,0.05445425786174923
35,2607.265865366895,0.054918930258122396
36,2586.5056652738144,0.055479445591980044
37,2564.967910534926,0.05607148851929056
38,2546.9992757258115,0.056573830934982174
39,2527.9387530840354,0.0571152607398563
40,2507.1664479370334,0.05771559188006568
41,2487.876888855402,0.058282904732200214
42,2469.5896811199095,0.058829696109620605
43,2449.8642089535647,0.059429502584942895
44,2429.36620180438,0.060064081320317174
45,2411.0078751329493,0.06064242433459636
46,2393.205204329842,0.06121251148232513
47,2373.366604303648,0.061858783375009205
48,2352.354044878918,0.06255625444976533
49,2334.0149091558364,0.06317616245305971
50,2316.785180903683,0.06376829820238267
51,2297.3924399156067,0.0644463210579202
52,2277.139974690259,0.06516779462568596
53,2259.7070033015416,0.06580006794867378
54,2242.023819188434,0.06645230978361492
55,2222.5692446410367,0.06718288178621554
56,2203.45978477884,0.06791409132617571
57,2186.5877694272594,0.06857117766527385
58,2168.7277355689143,0.06927878109554768
59,2149.2549916204243,0.07006474933570135
60,2130.71216973747,0.07082758880929808
61,2114.5429221046084,0.07150454910625968
62,2096.9883811964155,0.07225223403713599
63,2077.3543896121514,0.07310459186440556
64,2058.8340995577837,0.07392461377365592
65,2043.4589557799086,0.07461750033575718
66,2026.3890316715365,0.07539997242546063
67,2006.7828450373613,0.07631630438868553
68,1988.790785678663,0.07717421228489393
69,1973.6107843959796,0.07791104061364904
70,1956.477417853099,0.07875735399383928
71,1937.6326595584978,0.07970664387957488
72,1921.2336911910209,0.0805488789435734
73,1905.4475838906947,0.08137421594992733
74,1888.0528154302744,0.08230065309718779
75,1870.5432806894837,0.08325168575525267
76,1854.9631183046488,0.0841139390175283
77,1838.785360999563,0.08502565067235217
78,1821.5040641914911,0.08601848815919616
79,1804.9214476910088,0.0869900811067296
80,1789.8474928955213,0.08788977255869772
81,1773.8713806225257,0.08886091029144644
82,1756.6219075671481,0.089930340006235
83,1740.1242507473316,0.09097402309910166
84,1726.0319481095535,0.09188213413344952
85,1710.8655377982018,0.09287699529504603
86,1693.4595652448297,0.09404177341459594
87,1676.3798673446843,0.09520931781745079
88,1662.9924010732818,0.09614198239896583
89,1648.666047625321,0.09715756038613144
90,1631.6055889048973,0.09839119599570627
91,1615.2332236063678,0.09960056959867589
92,1601.9426160694388,0.10060118696124741
93,1587.2395607611636,0.1017283943585913
94,1571.1967621924307,0.10298324106222405
95,1556.9072541230341,0.10412346685629427
96,1542.8735026790746,0.10526451043827757
97,1527.897767175794,0.10650597822898292
98,1513.114284372463,0.10775631825766072
99,1499.382275134001,0.10894042633534462
100,1485.2398913412253,0.11018340239616001
101,1470.4935075998774,0.11150554450318705
102,1456.232128891383,0.11281024624149305
103,1443.2047606194908,0.1140250582283715
104,1429.6540058253468,0.11531261567027205
105,1414.9472899667953,0.11673839924456697
106,1400.1690423091534,0.11820175317035413
107,1387.3854274111914,0.11949308403012175
108,1374.6690020325154,0.12080173398370359
109,1360.697163405794,0.12226805752052355
110,1346.8160991861273,0.12375522003356533
111,1334.410027581526,0.1251106967834727
112,1321.51483728886,0.12654669720264797
113,1307.9585954819634,0.12808690435039097
114,1295.1130623883246,0.12957611672501843
115,1282.9299371479474,0.13101603473899415
116,1270.175439395749,0.13255296045898313
117,1256.9183073603438,0.1341833122137416
118,1244.4487634014495,0.1357482480788077
119,1233.054457683669,0.1372056301059598
120,1220.874703005079,0.1387931814983463
121,1207.5499631414857,0.140566120657993
122,1194.5667037165656,0.14233102415359367
123,1183.5917845583567,0.14385253890250874
124,1172.118668961356,0.1454729310430283
125,1159.5889727652132,0.14727831065280414
126,1147.79828735072,0.14901226853445138
127,1136.7398855618794,0.1506702975134346
128,1125.121676450744,0.1524462916889363
129,1113.2834229918255,0.15429278868397694
130,1102.2753530670473,0.1560441194828816
131,1091.3008240188292,0.15782394985710227
132,1079.8992111266405,0.15970980993300374
133,1068.441078438896,0.16164382552917986
134,1057.8827442565891,0.1634613667680091
135,1047.6253198549166,0.1652605094886301
136,1036.6292589434786,0.16722675344306298
137,1024.9883267036582,0.16935183341350885
138,1013.9531839041127,0.1714088538694253
139,1004.3117539193955,0.1732409072412149
140,994.1203225224033,0.17521373664728498
141,983.1799841692887,0.177374139508817
142,972.9967945361233,0.17942576432143806
143,963.2726974592523,0.1814225634604927
