parameter,population_value,random_effect
mrna_dose,100.00000000000013,8.884530149825245e-16
mrna_decay_rate,0.6931471809999998,1.1105662687281556e-16
delay_to_antibody_response,4.089999999999998,4.442265074912622e-16
max_antibody_production_rate,6085.191218919678,0.6969348909361374
mrna_response_steepness,0.017581619828575732,0.3692829869513836
half_maximal_response_mrna,28100.000000000004,0.0
antibody_decay_rate,0.875,2.776415671820389e-17
