time,R,COR,IOR,SOR
0,3.0,0.49842382267025775,0.5,0.48
1,2.999847695156391,0.49815936870684674,0.4999847688660996,
2,2.999390827019096,0.4978636012146801,0.4999390723094242,
3,2.9986295347545737,0.4975364133331817,0.4998629008647211,
4,2.9975640502598244,0.49717769052301447,0.4997562387554823,
5,2.9961946980917453,0.49678731044886054,0.49961906389231875,
6,2.9945218953682735,0.496365142855856,0.49945134787070405,
7,2.992546151641322,0.49591104943914927,0.4992530559681015,
8,2.99026806874157,0.4954248837059999,0.49902414714049853,
9,2.9876883405951378,0.49490649082977967,0.4987645740183759,
10,2.984807753012208,0.4943557074951728,0.49847428290214046,
11,2.9816271834476638,0.4937723617337969,0.49815321375706373,
12,2.9781476007338057,0.49315627274939394,0.4978013002077681,
13,2.9743700647852354,0.49250725073163987,0.4974184695323072,
14,2.9702957262759964,0.4918250966575315,0.49700464265589667,
15,2.965925826289068,0.4911096020791924,0.4965597341443574,
16,2.961261695938319,0.49036054889681713,0.4960836521973334,
17,2.9563047559630355,0.4895777091153357,0.4955762986413618,
18,2.9510565162951536,0.488760844583231,0.4950375689228725,
19,2.945518575599317,0.4879097067117685,0.49446735210120335,
20,2.9396926207859084,0.4870240361727173,0.4938655308417263,
21,2.9335804264972016,0.48610356257243564,0.49323198140918717,
22,2.9271838545667874,0.4851480040999698,0.49256657366136264,
23,2.9205048534524405,0.48415706714657103,0.4918691710431601,
24,2.9135454576426008,0.48313044589376725,0.49113963058128024,
25,2.90630778703665,0.48206782186683406,0.490377802879582,
26,2.898794046299167,0.4809688634501966,0.4895835321152915,
27,2.891006524188368,0.47983322536094675,0.48875665603621504,
28,2.882947592858927,0.47866054807630093,0.48789700595911595,
29,2.874619707139396,0.477450457210424,0.48700440676943657,
30,2.866025403784439,0.47620256283562995,0.48607867692255335,0.54
31,2.8571673007021126,0.47491645874252897,0.4851196284467657,
32,2.848048096156426,0.47359172163322194,0.4841270669482302,
33,2.838670567945424,0.4722279102411683,0.4831007916180748,
34,2.8290375725550416,0.470824564370844,0.482040595241925,
35,2.819152044288992,0.46938120384981274,0.4809462642121109,
36,2.8090169943749475,0.4678973273853159,0.47981757854281903,
37,2.798635510047293,0.46637241131699414,0.4786543118884838,
38,2.788010753606722,0.46480590825687224,0.4774562315657266,
39,2.777145961456971,0.4631972456072995,0.47622309857916745,
40,2.766044443118978,0.46154582394714905,0.4749546676514565,
41,2.754709580222772,0.4598510152762707,0.4736506872578926,
42,2.743144825477394,0.45811216110799025,0.47231089966601764,
43,2.7313537016191707,0.45632857039937175,0.47093504098059746,
44,2.719339800338651,0.45449951730907284,0.46952284119442594,
45,2.7071067811865475,0.452624238772943,0.4680740242454129,
46,2.6946583704589973,0.45070193188810886,0.46658830808044505,
47,2.6819983600624986,0.4487317510972157,0.46506540472653146,
48,2.6691306063588582,0.4467128051658082,0.4635050203697844,
49,2.6560590289905073,0.4446441539476349,0.4619068554428041,
50,2.6427876096865393,0.442524804935003,0.4602706047210828,
51,2.6293203910498377,0.4403537095943268,0.4585959574290629,
52,2.615661475325658,0.4381297594907807,0.45688259735653164,
53,2.6018150231520485,0.4358517822106239,0.4551302029860623,
54,2.5877852522924734,0.4335185370954216,0.4533384476322587,
55,2.573576436351046,0.431128710809199,0.4515069995935929,
56,2.5591929034707466,0.42868091276765646,0.44963552231767473,
57,2.544639035015027,0.4261736704681154,0.4477236745808304,
58,2.5299192642332047,0.4236054247699893,0.44577111068292075,
59,2.5150380749100543,0.42097452518845635,0.44377748065836753,
60,2.5,0.41827922527876304,0.4417424305044161,0.4
61,2.4848096202463372,0.4155176782053776,0.4396656024277098,
62,2.4694715627858908,0.4126879326091137,0.43754663511030456,
63,2.4539904997395467,0.4097879289064369,0.43538516399631166,
64,2.4383711467890774,0.4068154961784862,0.43318082160041127,
65,2.4226182617406993,0.40376834983280907,0.43093323783954157,
66,2.4067366430758,0.40064409024832076,0.4286420403891296,
67,2.390731128489274,0.3974402026432856,0.4263068550652924,
68,2.374606593415912,0.39415405843680223,0.4239273062345065,
69,2.3583679495453005,0.39078291840579543,0.4215030172523049,
70,2.342020143325669,0.38732393797111603,0.4190336109326392,
71,2.325568154457157,0.3837741749770025,0.4165187100496037,
72,2.3090169943749475,0.380130600356605,0.4139579378733035,
73,2.2923717047227368,0.3763901121008784,0.4113509187417085,
74,2.275637355816999,0.37254955296698833,0.4086972786704215,
75,2.2588190451025207,0.36860573237309435,0.4059966460023572,
76,2.241921895599668,0.3645554529262772,0.4032486520994036,
77,2.224951054343865,0.36039554201636503,0.4004529320782189,
78,2.2079116908177596,0.3561228888770545,0.39760912559238604,
79,2.190808995376545,0.3517344874633347,0.394716877663227,
80,2.1736481776669305,0.34722748541694876,0.3917758395616485,
81,2.1564344650402307,0.34259923928569896,0.38878566974346196,
82,2.1391731009600656,0.33784737602428944,0.3857460348406985,
83,2.1218693434051477,0.33296986063124046,0.3826566107114886,
84,2.1045284632676533,0.327965069566313,0.3795170835511596,
85,2.087155742747658,0.3228318693455285,0.37632715106724013,
86,2.0697564737441256,0.3175696994279033,0.3730865237211278,
87,2.052335956242944,0.3121786581937921,0.36979492603921055,
88,2.034899496702501,0.3066595904767092,0.3664520979962758,
89,2.0174524064372834,0.3010141747598429,0.3630577964740563,
90,2.0,0.2952450078003348,0.35961179679779254,0.26
91,1.9825475935627166,0.28935568411796947,0.35611389435367685,
92,1.9651005032974993,0.2833508675031551,0.3525639062900476,
93,1.9476640437570565,0.2772363514879554,0.34896167330516037,
94,1.9302435262558746,0.27101910561105924,0.3453070615243263,
95,1.9128442572523419,0.2647073043204435,0.34159996446913415,
96,1.8954715367323467,0.25831033552085125,0.3378403051213832,
97,1.8781306565948526,0.2518387861064353,0.33402803808423925,
98,1.8608268990399346,0.24530440233273956,0.33016315184298056,
99,1.843565534959769,0.23872002357592675,0.3262456711275215,
100,1.8263518223330697,0.23209948888624102,0.32227565937869623,
101,1.8091910046234552,0.22545751673733389,0.3182532213200341,
102,1.7920883091822408,0.21880955945828057,0.31417850563646704,
103,1.7750489456561351,0.21217163495237853,0.3100517077610771,
104,1.7580781044003322,0.20556013938776344,0.30587307277061215,
105,1.7411809548974793,0.1989916455164484,0.3016428983900552,
106,1.724362644183001,0.19248269206930793,0.29736153810605254,
107,1.7076282952772632,0.18604957022240193,0.29302940438844194,
108,1.6909830056250525,0.1797081133879431,0.2886469720185192,
109,1.6744318455428435,0.17347349652521457,0.28421478152198437,
110,1.6579798566743313,0.16736005079118754,0.27973344270376294,
111,1.6416320504546997,0.1613810986808375,0.2752036382810571,
112,1.625393406584088,0.15554881388952055,0.27062612761007293,
113,1.6092688715107264,0.14987410902890633,0.2660017505008751,
114,1.5932633569241998,0.14436655312025212,0.26133143111373053,
115,1.5773817382593007,0.13903431955488316,0.2566161819291398,
116,1.5616288532109226,0.13388416402882988,0.25185710778249126,
117,1.5460095002604533,0.1289214308938689,0.24705540995290806,
118,1.5305284372141095,0.12415008547289734,0.24221239029442948,
119,1.515190379753663,0.1195727691979259,0.23732945539610908,
120,1.5000000000000002,0.11519087395964357,0.23240812075600184,0.1
121,1.4849619250899457,0.11100463180677471,0.22745001495227185,
122,1.4700807357667953,0.1070132160849253,0.2224568837928737,
123,1.4553609649849728,0.10321485023099915,0.2174305944233739,
124,1.4408070965292534,0.09960692070631433,0.2123731393705256,
125,1.4264235636489542,0.09618609092207672,0.2072866404972161,
126,1.412214747707527,0.09294841344803972,0.2021733528423514,
127,1.3981849768479515,0.08988943826522007,0.19703566831715258,
128,1.3843385246743418,0.0870043152974981,0.19187611922725248,
129,1.3706796089501627,0.08428788991159977,0.18669738158787894,
130,1.3572123903134607,0.08173479049326296,0.18150227819735576,
131,1.3439409710094925,0.07933950757796523,0.17629378143214308,
132,1.3308693936411418,0.0770964643312508,0.17107501572471806,
133,1.3180016399375016,0.07500007843450458,0.16584925968379294,
134,1.305341629541003,0.07304481563832448,0.1606199478147073,
135,1.2928932188134525,0.07122523540122484,0.1553906717963813,
136,1.2806601996613487,0.06953602914152113,0.150165181269986,
137,1.2686462983808295,0.0679720517010653,0.1449473840935232,
138,1.256855174522606,0.0665283466573932,0.13974134601588234,
139,1.2452904197772279,0.0652001661320985,0.1345512897236938,
140,1.233955556881022,0.06398298573367574,0.1293815932144281,
141,1.2228540385430293,0.06287251524789444,0.12423678744982898,
142,1.2119892463932782,0.06186470565250317,0.11912155324491457,
143,1.2013644899527072,0.060955752989514056,0.1140407173494534,
144,1.1909830056250525,0.060142099580563824,0.10899924768116691,
145,1.1808479557110083,0.05942043302136332,0.10400224767282289,
146,1.1709624274449584,0.05878768334189572,0.09905494969905772,
147,1.161329432054576,0.05824101867120171,0.09416270755308774,
148,1.1519519038435742,0.05777783970027561,0.0893309879485742,
149,1.1428326992978879,0.05739577319442637,0.08456536102770842,
150,1.1339745962155612,0.057092664767824305,0.07987148986318361,0.04
151,1.1253802928606043,0.0568665710980055,0.07525511894902816,
152,1.1170524071410732,0.05671575172689333,0.07072206168326424,
153,1.1089934758116322,0.05663866056729892,0.06627818685410318,
