time,r_unvacc,r,susceptibility,cor,ior,cor_unvacc,ior_unvacc
0,3.0,1.6604416164440239,0.5534805388146746,0.2540933091090295,0.2481299338779329,0.44929131458251564,0.4495501143604766
1,2.999923847578196,1.6639950542303883,0.5546790981290116,0.25483497078425377,0.24900474755358762,0.4492149602666095,0.4495429709293819
2,2.9996954135095475,1.6674947879161728,0.5558880346339088,0.2555624153162492,0.2498633078702571,0.4491243015409923,0.44952154106410674
3,2.999314767377287,1.6709121582733029,0.5570979666580347,0.256275787794639,0.25069877564384035,0.4490193389307141,0.4494858260494997
4,2.9987820251299127,1.6742843850791536,0.5583214688658875,0.25697430641573465,0.25152042610460834,0.44890007385875264,0.4494358280297053
5,2.9980973490458727,1.6776362633008106,0.5595669746463399,0.2576579084117632,0.2523343963092607,0.44876650865821777,0.44937155001226065
6,2.9972609476841368,1.6809239288503435,0.5608200147368303,0.25832724365600507,0.2531301508319117,0.4486186465862684,0.4492929958738357
7,2.9962730758206613,1.6841334563306547,0.5620760904342408,0.2589821557785815,0.25390450087590266,0.4484564918397589,0.44920017036761206
8,2.9951340343707855,1.6873063749196073,0.5633492042615965,0.25962207444294905,0.2546676112153761,0.44828004957262185,0.449093079132309
9,2.9938441702975687,1.6904431015425556,0.5646396423413502,0.2602473347309123,0.2554196765393554,0.4480893259150012,0.4489717287028594
10,2.992403876506104,1.693502879540372,0.5659339278485651,0.2608584390158933,0.2561510616183298,0.4478843279941487,0.44883612652273297
11,2.990813591723832,1.6964938786332453,0.5672349100351077,0.2614548583957882,0.25686388729583987,0.4476650639570921,0.4486862809579203
12,2.989073800366903,1.6994575217416372,0.568556561411442,0.26203609314133386,0.25756813705670656,0.44743154299509597,0.44852220131257353
13,2.9871850323926177,1.7023743826609468,0.5698925122483665,0.26260272915887545,0.25825928075778204,0.44718377536992326,0.44834389784631357
14,2.985147863137998,1.7052049880336815,0.5712296563565076,0.26315515347484836,0.2589281084301116,0.4469217724419112,0.44815138179320696
15,2.982962913144534,1.707972212330661,0.5725757450099094,0.2636925550461762,0.25958018012403977,0.4466455466998842,0.4479446653824207
16,2.9806308479691594,1.7107188879364774,0.5739452401836573,0.2642145265529161,0.2602256770960946,0.44635511179290727,0.44772376186055907
17,2.9781523779815178,1.713408127560933,0.5753258766169037,0.2647218815873826,0.2608560109104037,0.44605048256390645,0.447488685515687
18,2.975528258147577,1.7160021666745922,0.5767050479106839,0.26521490194649033,0.26146247613960133,0.44573167508516537,0.4472394517030535
19,2.9727592877996583,1.7185383499529947,0.5780953597575006,0.26569261249880194,0.2620539455054653,0.4453987066957153,0.446976076872516
20,2.969846310392954,1.7210557603929886,0.5795100421089695,0.266154679100156,0.2626396056374282,0.4450515960406366,0.4466985785976747
21,2.9667902132486006,1.7235073477631726,0.5809333400341617,0.26660191513612386,0.2632085874295834,0.4446903631122879,0.44640697560672643
22,2.9635919272833937,1.7258630934005381,0.5823551743112514,0.26703450004639395,0.26375406151289293,0.4443150292934763,0.4461012878150429
23,2.9602524267262202,1.7281628792541845,0.58378902543976,0.26745162830660457,0.26428538745748653,0.44392561740258923,0.4457815363594853
24,2.9567727288213,1.7304329237034501,0.5852438054626122,0.26785323955784984,0.26480869276179375,0.44352215174070303,0.4454477436344575
25,2.953153893518325,1.7326287190913754,0.5867045137384148,0.26824014652979505,0.2653137990379682,0.4431046581406827,0.44509993332971093
26,2.949397023149584,1.7347299597275387,0.5881642742946374,0.2686123093833618,0.2657961611149894,0.44267316401829304,0.4447381304699067
27,2.945503262094184,1.7367829580898158,0.5896387827644107,0.26896897464775676,0.2662665133959584,0.44222769842533316,0.44436236145594277
28,2.9414737964294635,1.73879908485443,0.5911319308589755,0.26931031262601346,0.2667275214500124,0.4417682921048103,0.4439726541080549
29,2.937309853569698,1.7407323583274752,0.5926281002366747,0.26963703642722514,0.26716875225629944,0.44129497754817326,0.443569037710696
30,2.933012701892219,1.7425771109788835,0.5941253203079101,0.2699488391029338,0.2675890228070322,0.44080778905461165,0.44315154305920573
31,2.9285836503510563,1.7443812834770476,0.5956399037015536,0.27024507945533177,0.2679993352879521,0.4403067627924413,0.4427202025082725
32,2.924024048078213,1.746138867695783,0.5971698040046614,0.27052616568390736,0.2683983762607359,0.43979193686258533,0.44227505002219486
33,2.9193352839727122,1.7478051455760206,0.5986996954997095,0.27079263082584504,0.26877607250621866,0.43926335136416517,0.4418161212269502
34,2.9145187862775206,1.7493930927322585,0.6002339394650521,0.2710439618084913,0.269135458248764,0.4387210484622097,0.44134345346407333
35,2.909576022144496,1.7509437089414392,0.6017865474609289,0.27127969265779206,0.26948587361070103,0.4381650724574964,0.44085708584635097
36,2.9045084971874733,1.7524363592423968,0.6033503985060935,0.2715003273470493,0.26982270387793433,0.4375954698585279,0.4403570593153314
37,2.8993177550236466,1.7538366812950184,0.6049135794985376,0.271706176642532,0.2701382672746356,0.43701228945565374,0.4398434167006585
38,2.8940053768033613,1.755166513557545,0.606483501249142,0.27189661262173603,0.2704375592999229,0.4364155823973436,0.43931620278122574
39,2.8885729807284855,1.7564589245486724,0.6080715066806798,0.2720714264731914,0.2707280693078591,0.4358054022686124,0.43877546434814974
40,2.8830222215594894,1.757680533192281,0.6096659679027772,0.2722313562586234,0.27100233868669293,0.4351818051715992,0.4382212502695695
41,2.877354790111386,1.7588052225529425,0.6112576831322414,0.27237669578075074,0.2712545690167928,0.4345448498083009,0.437653611557258
42,2.871572412738697,1.7598627081500136,0.6128568098589526,0.2725067796800229,0.27149148403755946,0.4338945975654543,0.437072601435052
43,2.865676850809585,1.7608836865343211,0.6144739194989317,0.27262146692362565,0.2717199963456802,0.43323111260156383,0.4364782754090864
44,2.8596699001693255,1.7618308053554073,0.6160958666072215,0.2727214739880415,0.27193178136963003,0.43255446193606106,0.4358706913398304
45,2.8535533905932735,1.7626827923984025,0.6177150209311235,0.2728069692279199,0.2721221328454854,0.4318647155405885,0.4352499095159131
46,2.8473291852294986,1.7634736388022274,0.619343084020715,0.2728773916660078,0.27229868782881644,0.4311619464323898,0.43461599272972673
47,2.8409991800312495,1.7642209278911842,0.6209860742979091,0.27293274658591166,0.27246539818630305,0.4304462307697867,0.4339690063547961
48,2.8345653031794296,1.7648925840605274,0.6226325363119739,0.27297367701236536,0.27261513600653037,0.4297176479497203,0.4333090184248921
49,2.828029514495254,1.7654731443364038,0.624276774795791,0.27300019488197547,0.27274448900018816,0.4289762807073285,0.4326360997148749
50,2.82139380484327,1.765999460405694,0.6259315723222113,0.27301191532818264,0.2728616950916216,0.42822221521752923,0.43195032382324505
51,2.814660195524919,1.7664736378532555,0.6275974771881185,0.27300910483920976,0.27296724080083307,0.4274555411985695,0.43125176725636943
52,2.807830737662829,1.7668658891325808,0.62926367513281,0.2729921989434562,0.2730545153386609,0.4266763520175011,0.43054050951436523
53,2.800907511576024,1.7671807684473269,0.6309314967179919,0.2729609187141911,0.27312455165668875,0.4258847447975347,0.4298166331786015
54,2.7938926261462367,1.7674495306225242,0.6326118312787348,0.2729150269794842,0.2731843141187259,0.4250808205272183,0.4290802240007842
55,2.7867882181755235,1.767657190539143,0.6342990755488433,0.27285504892313345,0.2732304794562384,0.42426468417137925,0.4283313709935921
56,2.7795964517353733,1.7677775676169145,0.6359835315350347,0.27278142028646796,0.2732572366374297,0.4234364447837682,0.4275701665228095
57,2.7723195175075133,1.7678265592978486,0.6376705672393902,0.27269383982113565,0.2732681255479527,0.4225962156213254,0.4267967064009194
58,2.764959632116603,1.7678310247752638,0.6393695604958878,0.2725921546679049,0.27326911802187626,0.42174411425999525,0.4260110899820963
59,2.7575190374550274,1.7677733118131806,0.6410738376786316,0.2724768988285314,0.2732562907171905,0.4208802627119953,0.4252134202585492
60,2.75,1.7676314902335744,0.6427750873576634,0.2723483993262895,0.2732247664514933,0.4200047875444473,0.424403803958148
61,2.7424048101231686,1.7674248932484984,0.6444799421020264,0.27220635140365207,0.2731788363329227,0.41911781999926223,0.42358235164327007
62,2.734735781392945,1.7671746866507543,0.6461957673112534,0.2720507585402364,0.2731231991227177,0.41821949611416864,0.4227491778107961
63,2.7269952498697734,1.766858747431096,0.6479141272855065,0.27188220390841444,0.2730529266220235,0.41730995684475575,0.4219044009931717
64,2.7191855733945385,1.7664619975872144,0.649629070877286,0.2717009193074048,0.27296465039171103,0.4163893481874028,0.4210481438604599
65,2.7113091308703496,1.7660077253210842,0.6513487175673631,0.2715066555580886,0.2728635351560185,0.4154578213029471,0.42018053332328936
66,2.7033683215379,1.7655089428638493,0.6530774696137156,0.2712996311860347,0.2727524628615565,0.4145155326409381,0.4193017006366039
67,2.6953655642446375,1.7649411924899672,0.6548058697131063,0.2710805123448974,0.27262596901796576,0.4135626440643103,0.41841178150411307
68,2.687303296707956,1.764295813106883,0.6565302157252624,0.2708493776453062,0.27248209764091536,0.41259932297429763,0.4175109161833312
69,2.6791839747726502,1.7636041829106632,0.6582616944251911,0.2706059160732725,0.27232781893979735,0.41162574243539785,0.41659924959109385
70,2.671010071662834,1.7628712940249838,0.6600017396892518,0.27035045658164214,0.2721642273968222,0.41064208130018837,0.4156769314094223
71,2.6627840772285785,1.7620679672662642,0.6617389604868833,0.2700836835207692,0.27198478355223654,0.40964852433377286,0.4147441161916105
72,2.6545084971874737,1.761193060918962,0.6634723764436978,0.26980570388500247,0.27178919624067244,0.40864526233763276,0.41380096346839407
73,2.6461858523613686,1.76027493047719,0.6652121312289456,0.2695163748822319,0.27158377284019064,0.4076324922726387,0.4128476378540525
74,2.6378186779084993,1.759313792876358,0.6669578192051095,0.26921607640285733,0.2713685366252188,0.40661041738096837,0.4118843091522937
75,2.6294095225512604,1.7582875274176735,0.6687005247138698,0.2689053320062134,0.27113850047502547,0.40557924730665157,0.41091115246175586
76,2.6209609477998344,1.757201427331696,0.6704416671323465,0.2685841972464674,0.2708948099404976,0.40453919821446427,0.409928348280954
77,2.6124755271719327,1.756075833788107,0.6721884341206064,0.26825266455998314,0.27064199457351606,0.40349049290686345,0.4089360826124931
78,2.60395584540888,1.754906250302326,0.6739385590567747,0.26791118097820926,0.270379014048922,0.4024333609386463,0.4079345470663559
79,2.595404497688272,1.753676734000985,0.6756853259532322,0.2675602387601826,0.27010224419193957,0.40136803872900256,0.4069239389620698
80,2.5868240888334655,1.7523935427444217,0.6774305026418197,0.2671998752326683,0.2698130485684319,0.4002947696706105,0.4059044614295417
81,2.578217232520115,1.7510764814688102,0.6791811253845339,0.26683019292882487,0.2695158542407727,0.3992138042354078,0.40487632350834724
82,2.5695865504800333,1.7497164541885901,0.6809330683419554,0.2664518245202987,0.26920857544472604,0.3981254000766614,0.40383974024524466
