start,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360
0,-0.060980399912057365,-0.06627719445021465,-0.07155929446667858,-0.07681805221621096,-0.08204722046128296,-0.08723496108508508,-0.09237437844886562,-0.09745272936795549,-0.10242471541124279,-0.10701105778672751,-0.1108619932987755,-0.11389365441741972,-0.11594914708166809,-0.11711340312921636,-0.1174758978121693,-0.11715352350812999,-0.11628490206754902,-0.11500328567812979,-0.11334461868020476,-0.11139152325962948,-0.109133525140924,-0.10663152996605416,-0.10388779093078515,-0.10097888955063666,-0.09793735888136923,-0.09480292349161179,-0.09143927102940907,-0.08762736864702131,-0.08378060148786132,-0.08023728169301658,-0.07704471743877062,-0.07417929259574335,-0.07161635504868413,-0.06933007639614913,-0.06729637073212436,-0.06549892819344855
10,-0.07176848609769218,-0.07714208420099389,-0.08249040089481796,-0.08780235560523048,-0.09307059833648718,-0.09828256318157436,-0.10342693844842243,-0.108476257316864,-0.11317271717485358,-0.11709234825701564,-0.12011194362181413,-0.12208031386611365,-0.12311423400943844,-0.12330451764922429,-0.12279308972719835,-0.1217372629104726,-0.1202633775907185,-0.1184182032576008,-0.11627694114801101,-0.11383271754639016,-0.11113102593734978,-0.10819035089444048,-0.10507348400997238,-0.10182543106356326,-0.09848879571900004,-0.09490420061123983,-0.09082434073413964,-0.08668152448552813,-0.08287093841515314,-0.07944796668286946,-0.07638259974140355,-0.07364189792394338,-0.07119719213464581,-0.06903186478060913,-0.06711784392563608,-0.06543892182413324
20,-0.08271530217050599,-0.08815332028065853,-0.09355116422534018,-0.09889829001321448,-0.10418270531429849,-0.10939193854629617,-0.11450900366871314,-0.11931843791571503,-0.12333863106114337,-0.12635877202073273,-0.12825139932169263,-0.12916972661421974,-0.12919625670130835,-0.1285047363081505,-0.12727626912843967,-0.12561987528612384,-0.12360505848511821,-0.12128059028377011,-0.11866042123511442,-0.11576290466749914,-0.11263106113906135,-0.10930515235654092,-0.1058562876425225,-0.10230875219179514,-0.0984930953583123,-0.09412554147266577,-0.08967121040690879,-0.08556853865593789,-0.08188766653600255,-0.07859931866739645,-0.07567204698022473,-0.07306536104849892,-0.07075135634298568,-0.06871215831194405,-0.06692649550411345,-0.06537464319770026
30,-0.09379486188607375,-0.09927574516350701,-0.10470119426633309,-0.11005735707273434,-0.11532924775049513,-0.12050713287221235,-0.12543265408422807,-0.1295636665066576,-0.13260101488315776,-0.13443786664815463,-0.1352491747313026,-0.13512217397339216,-0.13426179619284567,-0.1328788303752353,-0.1310526207169581,-0.12888563765456726,-0.12638877351202232,-0.12360616600506846,-0.12052202793701619,-0.11720386472513694,-0.11367547656093588,-0.11002300201153176,-0.10626182758144939,-0.1022198709005453,-0.09754396586040487,-0.09273244547026926,-0.08831071185773948,-0.08435707779485124,-0.08083375933759357,-0.07769683273579198,-0.07491101132085565,-0.07244797188917923,-0.07027425824867106,-0.06837004495348492,-0.0667218237295309,-0.0653060097933792
40,-0.10496674831368125,-0.11046466479948788,-0.1158887061546292,-0.12122023976895677,-0.12644896691382476,-0.13147531323116357,-0.13573276693808847,-0.13880298203290597,-0.1406148552331058,-0.1413184144356159,-0.14104954633582206,-0.14004896088733682,-0.13851810952873023,-0.1365384908200235,-0.1342399935996559,-0.13159905854258663,-0.1286565778231573,-0.1254123425516483,-0.12190087356996543,-0.11818623908920264,-0.11432176734638444,-0.11035414859856268,-0.10607212578973246,-0.10106219998752086,-0.09587878564657293,-0.09110484238914657,-0.0868440895327891,-0.0830591381419562,-0.07970660586540446,-0.07673293644872081,-0.07410123617514819,-0.07178818133264492,-0.06976450503233705,-0.06800504348857817,-0.06650338487709512,-0.0652333314782505
50,-0.1161728187437393,-0.12165852793448112,-0.12704495206888983,-0.13231803436540426,-0.13741919644439712,-0.14181062860842247,-0.14492730579677066,-0.14673385503546954,-0.1473403992460838,-0.14694204983369075,-0.145832100220285,-0.14416348873011958,-0.14207705360392195,-0.13964438004800117,-0.13689018303080527,-0.13379486230996374,-0.1304080997617398,-0.1267215508224016,-0.1228209998888363,-0.11876024129565793,-0.11458476689100416,-0.11005565744984408,-0.10469865262989414,-0.09908745430624277,-0.09392472564693827,-0.08934002247892447,-0.08527930515608229,-0.08168336788712,-0.07850393133961492,-0.07570456100694684,-0.07324066802740525,-0.07108467644489985,-0.069221177078785,-0.06761904418015519,-0.06627084613485457,-0.06515602329875775
60,-0.12734744795056885,-0.13278220373553024,-0.138094350728277,-0.14324519739897718,-0.14776234146079353,-0.15093510818420497,-0.15275643563508862,-0.1532753784564555,-0.1527814533332197,-0.15156776758795154,-0.14978074937481506,-0.14761722996519427,-0.1450798151802699,-0.14223155302700707,-0.1390312793920936,-0.1354928499146297,-0.13166154066465205,-0.1275697725741442,-0.12332909459464261,-0.11894040183245644,-0.11417077221993477,-0.10842995822548235,-0.10236652925401124,-0.09678223992768314,-0.09183015047328102,-0.08745895459255343,-0.08361289217055096,-0.08022038266568665,-0.07723067119702837,-0.07460998175485056,-0.07232485553339185,-0.07034049651631041,-0.06864356052352272,-0.06720887635720352,-0.06602399023309896,-0.0650740450658383
70,-0.138412642936327,-0.14375367228405123,-0.14893819375097622,-0.15355327517201608,-0.15682249189644115,-0.1586430983756315,-0.15908173199015965,-0.15853431279307117,-0.15721698900072506,-0.1553661863300535,-0.1531252066360662,-0.1505410675624933,-0.14759603184417577,-0.1443214901074425,-0.14066781120077662,-0.1366917045801764,-0.13245020695570658,-0.12801113038973844,-0.12343431485028769,-0.11840618314369786,-0.11227092730906363,-0.10569763731442783,-0.09964042350645719,-0.09429308797537922,-0.08960120055458826,-0.08547453476492928,-0.08184358303410388,-0.07866665836322556,-0.07588175215914078,-0.07345005983860137,-0.07135294397475556,-0.06955290667039687,-0.06803125442025676,-0.06677436411743276,-0.0657627788400933,-0.0649873456947464
80,-0.1492808856197423,-0.1544814764355364,-0.15918487272004753,-0.16254744866124138,-0.16435401245837247,-0.16474787435831256,-0.16414271328913488,-0.16273813319283542,-0.16086885467546858,-0.1585742864137652,-0.15596964493103663,-0.1529979848870204,-0.14963682927559954,-0.1459115965702989,-0.14180744202262663,-0.13742168204920546,-0.132821380481655,-0.12804687851152388,-0.12277356301212919,-0.11620122616545403,-0.10906872343193186,-0.10250007137088357,-0.09672074669372016,-0.09166252829923449,-0.08724016854762573,-0.08337257220816191,-0.07998308303488277,-0.07702118920876477,-0.07445329886944918,-0.07222919453405735,-0.07032461595253514,-0.0687199679503071,-0.06738430828732106,-0.06631563034753402,-0.06548733507366922,-0.06489604365362761
90,-0.15985890954840415,-0.16461316664412085,-0.16805916212416572,-0.16984672496030412,-0.17024895243620353,-0.1695639968030575,-0.1681496022519044,-0.16623732666798263,-0.16396719198784934,-0.16133310535454046,-0.15837222627468173,-0.15498994747386322,-0.15118307012185367,-0.14700346556153585,-0.14247758032427107,-0.13772910393922608,-0.13277047080638804,-0.12724383251583235,-0.1202192095753972,-0.11248045565255893,-0.10533317659781566,-0.09906720679360709,-0.0936311953962703,-0.08889338214127618,-0.0847554133183061,-0.08115278830247452,-0.07801808668735288,-0.07529279356357665,-0.0729453430062657,-0.07094072812292068,-0.06924199487460836,-0.06784206617626726,-0.06670704428292595,-0.06583304593309836,-0.06519800032224371,-0.06480025123653904
100,-0.16981472187287588,-0.17331068076677553,-0.17509512467198077,-0.17551511782320017,-0.17475701660388324,-0.17337296181106632,-0.17145802393461165,-0.16922427856756783,-0.16665379874031722,-0.1636849053385426,-0.16032557915101645,-0.15649527863039445,-0.15222962547128782,-0.14762074468438116,-0.14272231089686815,-0.1376101950844656,-0.1318393180780287,-0.12432043486988306,-0.11589003677424736,-0.10810670442277509,-0.10133427791645228,-0.09546923536498825,-0.09038018837690603,-0.08597908274508059,-0.08214943479649395,-0.07881952232380918,-0.0759496383055574,-0.0734770032480539,-0.07135998057975085,-0.06958578735077886,-0.0681100695131805,-0.06692033359029792,-0.06599730735263482,-0.0653275360652334,-0.06489542836223666,-0.0647002081051627
110,-0.178253862598954,-0.18013970873167928,-0.18049840292087815,-0.17978430275737056,-0.17835743612485355,-0.17652563395255436,-0.17432929161191824,-0.17184013837112372,-0.1689628342790392,-0.16560645370117824,-0.16179808150301148,-0.15750184016409866,-0.15279599812123634,-0.14780628327702092,-0.14252206086929023,-0.13651122073196062,-0.12846895223145677,-0.11930650572516704,-0.11082026405892825,-0.10345896738831245,-0.09713354682414971,-0.09169713709654653,-0.08699293318187445,-0.08292280957391729,-0.07941563919084327,-0.07638446574156404,-0.07378020586122669,-0.07157282207112126,-0.06970801457969794,-0.06816657054225955,-0.06692517824039729,-0.06595665407509632,-0.06525605057227996,-0.06480044796045481,-0.0645819115589073,-0.06459630024887814
120,-0.18478215350485994,-0.1851596106256581,-0.1845213327127544,-0.18312337168286127,-0.18135245616830548,-0.179292396722201,-0.1768872332960291,-0.17410959320071245,-0.17085914653554674,-0.167054011729843,-0.16276963951586446,-0.15802574555804488,-0.15292364931184357,-0.14753862800484419,-0.14129388641464993,-0.13269476917219988,-0.12268541857308735,-0.11340253926820543,-0.1054118312727162,-0.0986023034186918,-0.09276324506315464,-0.08775883969168768,-0.08345509464752193,-0.07974211024590933,-0.07655879648236352,-0.07383958089755066,-0.0715230430905428,-0.0695840928942657,-0.06798344266901213,-0.06668644133786084,-0.06569037058404581,-0.06495502441678763,-0.0644855952164547,-0.06425365070183925,-0.06425763204558615,-0.06448892931425809
130,-0.18954269163724402,-0.18888820917671287,-0.18765157106266384,-0.18595116557236882,-0.18401574265808984,-0.18179216134926207,-0.17913528126516465,-0.175984485097079,-0.1722872755795721,-0.16800015803182064,-0.16325157985662914,-0.15810562820385662,-0.15259197838229835,-0.14611394992314322,-0.13692600451152057,-0.12598174829811917,-0.1158366452281685,-0.10715342707909814,-0.09978855508610407,-0.09355702126515986,-0.08823274953845445,-0.08366498889699248,-0.07977421488308573,-0.07643845800543986,-0.07358719827246102,-0.07119113385143672,-0.06917893555120819,-0.06751639444268753,-0.06619129707605986,-0.06515688146643756,-0.06440996511702446,-0.06392214278063502,-0.06368912697133261,-0.06368967426920386,-0.06392378122010928,-0.06437871676094592
140,-0.19297525058336465,-0.19181183466520674,-0.19032908918398858,-0.18853063568687434,-0.1864596603284076,-0.18401567007749856,-0.1810065224043277,-0.17739687932817746,-0.17321078471773438,-0.16845285363515483,-0.1632809458457259,-0.1576974369239637,-0.15102342412021216,-0.14118360857765203,-0.1292128788848245,-0.1180695542304594,-0.10859097719823213,-0.10067996589286998,-0.09400065694952853,-0.08834085504190498,-0.08354419704330246,-0.0794468784500888,-0.07596131437992698,-0.07301511742399358,-0.07052318589530304,-0.06844767081419845,-0.06675138691747079,-0.06538418529916445,-0.06433832835578146,-0.06357833947407987,-0.06308948288900723,-0.06285840306589463,-0.06287072779372022,-0.06311162335090886,-0.06358237014771967,-0.06426637040364669
150,-0.19566554365961653,-0.19434137595373924,-0.19281840456494476,-0.1909491018304808,-0.18866112109409713,-0.1858809099610459,-0.18241972743394833,-0.17830088405147765,-0.17363234814288622,-0.16844587435844297,-0.16281461975189335,-0.1559190296809064,-0.14541902677320243,-0.1322752200472472,-0.12000646206434618,-0.10971800525700232,-0.10116172315405064,-0.09403106164385483,-0.08804948562242881,-0.08298264636621006,-0.07871441523933359,-0.07509838544228398,-0.07203548325099707,-0.06948470515193922,-0.06736314123001547,-0.0656207978045163,-0.06425033900033844,-0.06319244006510727,-0.06243310082596709,-0.061956998090846704,-0.0617358509086513,-0.061769750295610826,-0.06203527600320152,-0.06252485134456082,-0.0632357458480482,-0.06415272390756005
160,-0.19806558174022992,-0.19674097036887345,-0.19519625592643253,-0.19315832289791443,-0.19052234459367,-0.18729297921332544,-0.1833215692318583,-0.17869370575299345,-0.17358403940212802,-0.1679064357594672,-0.16087074292804515,-0.14958631626391874,-0.13513453668083059,-0.12164408418798034,-0.11039067945091108,-0.10117599654281495,-0.09357955467512158,-0.08723912878712958,-0.08196049460347493,-0.07750779286776455,-0.07376364132095065,-0.0706377699776311,-0.0680200181910911,-0.06586272193938264,-0.06412130851119607,-0.06273421749384817,-0.06168805330354382,-0.060948802254156276,-0.060485936885257496,-0.06030218810728488,-0.060357417659549384,-0.06066322487517417,-0.06118861090567035,-0.061932070259508254,-0.06288664153189832,-0.06403871530369576
170,-0.20041395594401457,-0.1990756755471269,-0.19739829888293048,-0.19504060443507898,-0.19193445395403247,-0.18818853106823055,-0.1837061536284374,-0.17860572288605692,-0.17299412728446223,-0.16575095736478906,-0.15371288440598385,-0.1377607275418973,-0.12282623984402291,-0.11053621373523992,-0.10062246368056998,-0.09252524046496408,-0.08588618081890992,-0.08035189544585825,-0.07576227252771939,-0.07192755672214762,-0.06871805937833031,-0.06608633442750123,-0.06392134323611914,-0.062167424146082284,-0.060814434812039464,-0.05979106343449092,-0.059079008619918216,-0.058666456658317545,-0.058511373985513426,-0.05862478755121964,-0.05896638107583202,-0.05954701717941557,-0.06033741451690072,-0.06133784953373128,-0.06253814158199594,-0.06392544015147472
180,-0.202745566654719,-0.20127317264065875,-0.1992900647261226,-0.19647416308052373,-0.19282535962484113,-0.18855605133884815,-0.18360021573393595,-0.17796637596657863,-0.1706368374399773,-0.15766139346907176,-0.13999142933234007,-0.12344424275035956,-0.11004448110584458,-0.09935678536546111,-0.0908083349980442,-0.08381708203758514,-0.07812183283348167,-0.07339386437470757,-0.06948677388428681,-0.06627081210228919,-0.06361430627505671,-0.06146851407893866,-0.05976192530244989,-0.058429796161178604,-0.05746191780679616,-0.05680918605845603,-0.056439808921374346,-0.05636065693395709,-0.05652341023807661,-0.056937174867459195,-0.05757110890445316,-0.05843031223326023,-0.05948907078992366,-0.06074757722110141,-0.062193576744977275,-0.06381400743041776
